elapsed_time,x,y,z,pitch,roll,yaw,x_speed,y_speed,z_speed,pitch_speed,roll_speed,yaw_speed,control_x,control_y,control_z,control_yaw
0.00,-1.9058461008979386,-0.3456594564367327,0.9821134858844788,-0.06665460235647955,-0.0757310402897377,3.123410135224345,0.02705927020854914,-0.015539399320301815,-4.1131609014650244e-05,0.06592679449891554,-0.006219641721518449,-0.04233209759084078,20,0,0,0
0.04,-1.904716031137706,-0.3461014419973745,0.981857626253887,-0.07233882046980201,-0.0689407704638163,3.121691456106392,0.02699957343720954,-0.010559898178569038,-0.006112986232247913,-0.13580707119548444,0.16223280657090133,-0.04106260046337115,20,0,0,0
0.08,-1.9044561223800192,-0.3474677687230093,0.9821039009476062,-0.06743700101992035,-0.07606850289773867,3.121818318722856,0.006957680522853106,-0.036576162078597436,0.006592700665464312,0.1312202559717927,-0.19080728779194875,0.0033960746975379274,20,0,0,0
0.12,-1.9038867446876648,-0.34847351702691104,0.9821007609678173,-0.06683689348390287,-0.08124398342986522,3.1212786536612835,0.014327110887786718,-0.025307397301819527,-7.901053944664973e-05,0.015100358388766206,-0.1302293442069298,-0.013579459264448038,20,0,0,0
0.16,-1.9031175981095187,-0.3496743522902255,0.9817611082184557,-0.0661407408317666,-0.0969395893065046,3.122955831699281,0.019383266455798916,-0.030262254997541347,-0.008559590499886492,0.017543746190476425,-0.39554503593503787,0.04226657145466379,20,0,0,0
0.20,-1.902146066191295,-0.3506979003914801,0.9818742445090868,-0.06466614011128992,-0.12256631796605988,3.1237657159356895,0.02400799035375698,-0.025293387155467053,0.002795765041971731,0.03643956437125947,-0.633274360745458,0.02001343709931949,20,0,0,0
0.24,-1.900737221593244,-0.35185924133213636,0.9815452324570321,-0.06757632061692877,-0.14098789791204816,3.124407376627783,0.0355786913585932,-0.029328281449119264,-0.0083088072804528,-0.07349314051469145,-0.46521504794972746,0.01620437609124185,20,0,0,0
0.28,-1.897355105153561,-0.3526953541695326,0.9810632714138392,-0.07224755816603302,-0.15490710054246515,3.1258508063839137,0.08479356656123385,-0.020962314809334935,-0.012083320170882884,-0.11711332211862914,-0.34897049104323175,0.036188451605885935,20,0,0,0
0.32,-1.895012031463782,-0.35439810899822305,0.9812219505487666,-0.07084385878033055,-0.1679535917768141,3.125566488093898,0.05733935078641166,-0.04166956287010295,0.0038831721852264855,0.034351122556052154,-0.31927179272312606,-0.006957794898780236,20,0,0,0
0.36,-1.8899618855169706,-0.3560384511168507,0.9810955772360149,-0.07747364531396354,-0.1741445577550436,3.1263546487835665,0.1266235897783051,-0.041128713845651775,-0.0031685901123108527,-0.1662303187262408,-0.15522765967857788,0.019761752808551778,20,0,0,0
0.40,-1.8838617083269455,-0.3580131839736015,0.9808653892346876,-0.06354885739325106,-0.17703163306733463,3.123421926093795,0.15449362116773543,-0.05001225708282839,-0.005829761458827245,0.3526603970424611,-0.07311832192500284,-0.07427439140037817,20,0,0,0
0.44,-1.876802100065396,-0.3597333146393177,0.9813195348801448,-0.06865947011708486,-0.1828051438771093,3.1264965325617924,0.17528885029688324,-0.04271054647550989,0.011276357711391856,-0.12689562869269247,-0.14335527334202267,0.0763419460292168,20,0,0,0
0.48,-1.8674456928668146,-0.3616828918969033,0.9809221438489548,-0.06285136727068004,-0.17841391699704393,3.1236700766136805,0.2350719475428076,-0.04898150680052659,-0.0099841190806694,0.145923752425002,0.11032592242840815,-0.07101235445025937,20,0,0,0
0.52,-1.8571074035162292,-0.3634819323318547,0.9807487982877154,-0.06256542396012969,-0.18155962518138746,3.121948279792891,0.2551977658024186,-0.04440880730058297,-0.004278986439623196,0.007058430222255593,-0.07765092205176022,-0.04250207040358613,20,0,0,0
0.56,-1.8453704311065993,-0.3658049632464708,0.9805381207159523,-0.0643685029780863,-0.18100421817742024,3.1220689208617096,0.2885318012015234,-0.05710742691114018,-0.005179119208265372,-0.04432536932035771,0.013653655956720257,0.002965737983384053,20,0,0,0
0.60,-1.8323781199443405,-0.36820342889861785,0.9803285216130054,-0.06422263231620715,-0.17966304368429994,3.1221298747091706,0.335817039767221,-0.06199402286693238,-0.0054175850170471145,0.003770372588015106,0.03466582984860251,0.0015754964887406042,20,0,0,0
0.64,-1.8180648048579826,-0.3708318458391161,0.979903485346197,-0.06358792273901145,-0.1831061308531931,3.1209797022197363,0.3556940338069531,-0.0653176583098785,-0.01056239336192916,0.015772894570302322,-0.0855626775812281,-0.02858244158480007,20,0,0,0
0.68,-1.8025549669366006,-0.3733538524241135,0.979655777571167,-0.06455003200761002,-0.18195083090817898,3.124505943739081,0.3776265773852627,-0.061404685185182134,-0.00603107780690284,-0.023425004955766746,0.02812872489709353,0.0858553469568018,20,0,0,0
0.72,-1.7855887521061689,-0.3761522323840448,0.9794584407058228,-0.06405670483567764,-0.17878241484343765,3.122794321097936,0.43961835491310375,-0.0725099385279622,-0.005113274173017684,0.012782796983676133,0.08209809152972937,-0.04435053647809354,20,0,0,0
0.76,-1.767511784262552,-0.37884429338635217,0.9791616759578683,-0.0642333345387397,-0.17798967874555485,3.124109022816474,0.44658231309144986,-0.0665060003311464,-0.007331422433896251,-0.004363547141118578,0.019584142834474377,0.03247903849633815,20,0,0,0
0.80,-1.7482744760494724,-0.38183973244249264,0.9789235890932263,-0.06396581318914407,-0.178661871047949,3.12556291900975,0.47195385453869193,-0.07348788057676585,-0.005841046587090731,0.006563170414206032,-0.016491067491992507,0.03566881108913612,20,0,0,0
0.84,-1.727490386471155,-0.38452490030984454,0.9787352376713645,-0.06613517571290929,-0.17638225390577278,3.1255728637607474,0.5082218753370844,-0.06565892838357099,-0.004605653400419929,-0.05304622490003764,0.055742220253708216,0.00024317350936126468,20,0,0,0
0.88,-1.706179711758155,-0.3876774100977989,0.9783226902159127,-0.061513125244637305,-0.1798346919005336,3.126879878125583,0.5492779295112431,-0.08125524284949845,-0.010633319461137382,0.1191323290088126,-0.08898582607388564,0.03368800630795917,20,0,0,0
0.92,-1.6832515804547614,-0.3909177001490604,0.97810651934029,-0.06206508057167478,-0.181910510733095,3.1270314598739835,0.5842819646174383,-0.08257293243960143,-0.005508723856757444,-0.014065583391647067,-0.05289848918037778,0.0038627867480153593,20,0,0,0
0.96,-1.659472632370166,-0.3939142636711982,0.977964539246014,-0.0710497109823459,-0.18951129031645225,3.129851538766857,0.5634810003785911,-0.07100846535116724,-0.0033644501544761412,-0.2129054874011273,-0.18011288254007718,0.06682637390222843,20,0,0,0
1.00,-1.6340687314152318,-0.396944761495585,0.9778783085889796,-0.06987715543320576,-0.18828630736844237,3.130960099491749,0.6688617501923043,-0.07979026852486683,-0.002270375257979936,0.030872327765206514,0.032252693789631234,0.029187401886079864,0,0,0,0
1.04,-1.6075887515078322,-0.4000691645144265,0.9777292242633571,-0.06855611763401159,-0.19136819636259167,3.1312162291582157,0.6608106289225324,-0.07796979949033701,-0.003720414717897866,0.03296663449023221,-0.07690885762055027,0.006391742236038789,0,0,0,0
1.08,-1.5793706920949586,-0.40334585725975297,0.9776369237824912,-0.06484194472081198,-0.19204464359329176,3.1313382640923018,0.6793117034440694,-0.07888195633591552,-0.0022220095283048795,0.08941370104991618,-0.016284554293881176,0.0029378263664666194,0,0,0,0
1.12,-1.5505337557771344,-0.40636066642595475,0.9776080280623236,-0.06837664031242821,-0.19004471561693206,3.129257389155055,0.6562289885932305,-0.06860663518944397,-0.0006575667058136929,-0.0804374531159031,0.04551144749640498,-0.047353520513014134,0,0,0,0
1.16,-1.5201799131727287,-0.4093984519161277,0.9781030271345099,-0.06686976976415916,-0.17319798040947482,3.1303194941611414,0.8396918819608958,-0.08403561448482354,0.013693380041204085,0.041685231851463625,0.46603874756843644,0.029381484348591516,0,0,0,0
1.20,-1.488786411618395,-0.41254509183403504,0.9786759630893412,-0.06752558390953425,-0.15277401808062704,3.129076387754453,0.8148338395959538,-0.08167259334536939,0.01487083570814149,-0.01702198008121072,0.5301140306179332,-0.0322654408153606,0,0,0,0
1.24,-1.4570844103028688,-0.4155652936183467,0.9792642998306123,-0.06643744026553804,-0.13610552100672113,3.1284920157844485,0.753175322305144,-0.07175387540001915,0.0139776889894245,0.02585208837840022,0.39600971973440957,-0.013883494056845797,0,0,0,0
1.28,-1.4251237244974666,-0.4190021362933958,0.97974253579084,-0.06539360772068949,-0.11988846396807264,3.1275641613132334,0.8348404296883151,-0.08977326810440737,0.012491932024233323,0.027265798223788877,0.4236033903921054,-0.024236351815280475,0,0,0,0
1.32,-1.3927620674365222,-0.4220145610573923,0.9800911891717277,-0.06544712782917377,-0.11106909026715042,3.125689162788465,0.8145136527189376,-0.07582000802502187,0.008775290408176156,-0.0013470527474334249,0.22197566318385098,-0.047192017836904486,0,0,0,0
1.36,-1.36060792302534,-0.42499251333511834,0.9805627275899431,-0.0658302130653656,-0.1006390465937114,3.1250548022697147,0.7880945527029568,-0.07298928369150008,0.011557354909948513,-0.009389377120503247,0.2556392264206116,-0.01554810673497508,0,0,0,0
1.40,-1.328758742710602,-0.4281250990768557,0.9808859172522597,-0.06615338822357589,-0.09692901069821018,3.1262097224270904,0.8164752242551099,-0.08030594887240528,0.008285185031740526,-0.00828481320919028,0.0951092731379381,0.029607157395311116,0,0,0,0
1.44,-1.2972389826153308,-0.4313853200998193,0.9811584856599264,-0.06474980713480996,-0.09364683168334799,3.1241926523973147,0.7722029161091603,-0.07987218727183663,0.006677656130732908,0.03438634705545626,0.0804101363337824,-0.049416218723785814,0,0,0,0
1.48,-1.266077328714365,-0.4346104770724947,0.9816852132199541,-0.06394050930118134,-0.09342887358794326,3.1222641731938108,0.7941514740760512,-0.08219278643286254,0.013423596499783712,0.02062487021983155,0.005554639150494839,-0.04914708978717524,0,0,0,0
1.52,-1.2353318216899751,-0.4377643695667044,0.9822911461131612,-0.06276029445293725,-0.09237507245598366,3.121291978185348,0.7163346873961314,-0.07348204055078587,0.01411753428864301,0.02749763839336058,0.024552345285480056,-0.02265101716887419,0,0,0,0
1.56,-1.2045440491503014,-0.44076985132448676,0.9828973185624807,-0.06360009226837028,-0.09381791835691719,3.1211930389966795,0.7952437925031315,-0.07763116699260768,0.015657348282882247,-0.021691858312263793,-0.037268504721392315,-0.0025555851928738063,0,0,0,0
1.60,-1.1745829339160627,-0.44442640680387197,0.9832327438557464,-0.06243829001915481,-0.092391545959848,3.1211774760331497,0.7831903565596895,-0.09558319065531104,0.008768093342923554,0.03036977464627524,0.037285698396530474,-0.0004068194011073458,0,0,0,0
1.64,-1.1446949681383356,-0.4476022343197276,0.983929712844108,-0.06179498353786848,-0.09367290114422878,3.1218076834228894,0.7402243504005478,-0.07865456208666774,0.01726157679970786,0.015932537053876775,-0.03173485663241318,0.015608116629849641,0,0,0,0
1.68,-1.1149193996698272,-0.4511747582534096,0.9843420968113574,-0.06210145988235596,-0.09538319504122257,3.122299547636113,0.6886750995601674,-0.08262842330992294,0.009537973053406822,-0.007088449957755748,-0.03955715643296825,0.011376260922440422,0,0,0,0
1.72,-1.0858457376577437,-0.45453499340032544,0.985169025820855,-0.06255988784713613,-0.10166127456932159,3.1220406603860957,0.717088553470838,-0.0828786604116914,0.02039582516289881,-0.01130691572317825,-0.15484595526729045,-0.006385335412843788,0,0,0,0
1.76,-1.0565880711888334,-0.4582692759932475,0.9852185263873002,-0.05985690009511403,-0.09088717020359441,3.122851819302985,0.8006181496204013,-0.10218635935582507,0.001354552727391232,0.07396560675028907,0.29482677677905844,0.022196867674936806,0,0,0,0
1.80,-1.0283627139546738,-0.4619519886005804,0.9863461707272347,-0.05995603032348928,-0.10440300930407721,3.1228353745502666,0.721090346632055,-0.0940844960273532,0.02880861493497629,-0.0025325401605301888,-0.34529735163794606,-0.00042012408698630614,0,0,0,0
1.84,-0.999913001796837,-0.46586389450660043,0.986611448037589,-0.05950208738135266,-0.10306389358763147,3.122864634165675,0.6896781924566451,-0.0948324601442823,0.006430855078247969,0.011004489116597023,0.03246285592222326,0.0007093118747509411,0,0,0,0
1.88,-0.97176638702752,-0.4693985087293591,0.9871197652996996,-0.058957154390380635,-0.10359217931118958,3.124106707176879,0.7198986451128122,-0.09040390863395516,0.01300109840135173,0.01393760937481128,-0.01351182654606502,0.031768178348460255,0,0,0,0
1.92,-0.9435128482708516,-0.47332503110655644,0.9868905586912647,-0.05799465282418599,-0.09228190065391063,3.1259396419225416,0.7106980840050233,-0.09876893490442307,-0.0057655325535985475,0.024211056350770116,0.2845021800815609,0.04610619657479559,0,0,0,0
1.96,-0.9160422841474926,-0.4769694328905012,0.9877414826833636,-0.060905561642584115,-0.1020996704126219,3.1258891380200127,0.6757368892432187,-0.08964711148910122,0.020931522513378563,-0.07160422556238652,-0.24150320198253294,-0.0012423243234570365,0,0,0,0
2.00,-0.8883830606292937,-0.4809632492004554,0.9879731151572717,-0.05697724696152722,-0.10035964575940508,3.127328981228907,0.7004280158624119,-0.10113735954516535,0.005865742181880643,0.09947862982941184,0.044063493488977916,0.03646185227489093,0,0,0,0
2.04,-0.8611820990979504,-0.4849849678423746,0.9881359529052306,-0.055019757796951056,-0.10013544732153352,3.1275031137934852,0.6784637171871659,-0.10031226933405626,0.004061602883091836,0.048824942214693724,0.005592100314932431,0.004343325397192607,0,0,0,0
2.08,-0.8337083014007043,-0.4888903849770601,0.9887225913905666,-0.056410677152320766,-0.09746328431004425,3.12646006882169,0.6855339578492273,-0.09744907110754143,0.014637969133746305,-0.03470661250560462,0.06667656599466666,-0.026026352658236395,0,0,0,0
2.12,-0.8071739477876511,-0.4925727417322041,0.9887986870184451,-0.056751152175582575,-0.10147853565752701,3.125410274340088,0.6759541409851658,-0.09380685633132602,0.0019385116941388002,-0.008673491927936898,-0.10228723921475372,-0.026743177443489974,0,0,0,0
2.16,-0.7800322879170041,-0.4965252332351951,0.989555159051977,-0.05664419425548677,-0.09689284805072153,3.1271723204559545,0.6282789306604751,-0.091492824933282,0.01751092020779393,0.0024758768617587036,0.10615013671520401,0.0407880894067316,0,0,0,0
2.20,-0.753529316677704,-0.5003673775538381,0.9900692185576723,-0.056072259456798765,-0.09687150472787974,3.1276688810778532,0.709368037273102,-0.10283731396101961,0.013759113244476647,0.015308180427403756,0.0005712669306569868,0.013290745047524631,0,0,0,0
2.24,-0.7274957027751592,-0.5041531268682826,0.9906338302166894,-0.058120516125900586,-0.10082419391677278,3.127660318701496,0.6462647426958993,-0.0939783587391806,0.014016056698994472,-0.0508464201008549,-0.09812251465276287,-0.000212554506420433,0,0,0,0
2.28,-0.7010971469983984,-0.5081392507129372,0.9911391692925386,-0.055083912316158515,-0.09605558354730694,3.12915625785675,0.639613933849522,-0.09658029684091081,0.012243924136045721,0.07357425628569353,0.11553926143545751,0.03624529826490487,0,0,0,0
2.32,-0.6750446601107816,-0.5118515431687005,0.9918769439222035,-0.057367058424380994,-0.09596116843334775,3.127940339475737,0.6728118782759722,-0.09587086525160195,0.019053211175978083,-0.058962809503678805,0.0024382935277751233,-0.03140139109515575,0,0,0,0
2.36,-0.6496464131355343,-0.5156169607707076,0.9925433273679283,-0.0557741494055714,-0.0947526482300637,3.1285173539234283,0.6211869362314499,-0.09209408137901583,0.01629831741570835,0.03895915627775898,0.029557825907570025,0.014112542384203687,0,0,0,0
2.40,-0.6244644528377407,-0.5192045122875539,0.9933482026045689,-0.056644514700721155,-0.09554054921523594,3.1284657896739896,0.6468889713971949,-0.09215912832530727,0.02067610733145159,-0.02235845438008149,-0.02024006280025651,-0.00132461269439873,0,0,0,0
2.44,-0.5993117377991309,-0.5228124341009402,0.9941383376746922,-0.05810440867423694,-0.09509324357073991,3.128069625288538,0.6245412547717625,-0.08958460400763364,0.01961903306964968,-0.03624912907627325,0.01110658742212216,-0.00983675130124645,0,0,0,0
2.48,-0.5743113860815438,-0.5265965771217163,0.9949039490540978,-0.05716663108595987,-0.09307713327201185,3.1290497578221794,0.6339841424601583,-0.0959621166563656,0.01941514580728025,0.023781110235499333,0.05112655906936817,0.02485518967322919,0,0,0,0
2.52,-0.5497571484003748,-0.530184423744688,0.9956224463672261,-0.05676785349689982,-0.09226473941844981,3.128872621961131,0.5963193943642814,-0.08713373850426066,0.017449284648147653,0.009684634215979237,0.019729637589722755,-0.004301886735487995,0,0,0,0
2.56,-0.5256299746938091,-0.5336008174828428,0.9964207450693879,-0.058170713509261875,-0.09254555891186356,3.1277432161275907,0.5984818715950968,-0.08474468428766961,0.019802041763049606,-0.03479836867738419,-0.006965812823443464,-0.02801525471935647,0,0,0,0
2.60,-0.5013452213533376,-0.5372255468534879,0.9970748816981632,-0.05822080140469616,-0.08937183748432367,3.1270091564425058,0.6310061149104088,-0.09418363718607908,0.01699684600280289,-0.001301465485727443,0.0824648123751943,-0.019073537355054678,0,0,0,0
2.64,-0.47789084222440875,-0.5407992165981963,0.9978225158914588,-0.05744743535209393,-0.09081206764385175,3.127568674504773,0.5517715405772804,-0.08407168869032555,0.017588326186565088,0.018193676154410844,-0.03388186101794968,0.01316283588241516,0,0,0,0
2.68,-0.4546126341934897,-0.5442100067695236,0.998491840516064,-0.056805377949249156,-0.08995434381667106,3.127780938713829,0.6160769879916455,-0.0902693769482503,0.01771422861105631,0.016992579082416973,0.02270036900075262,0.0056177474829616995,0,0,0,0
2.72,-0.431379041168336,-0.5476959370092092,0.9990440141972986,-0.05762944599569553,-0.08720071711368066,3.127869561498785,0.5827089716192538,-0.08742869959478436,0.013848764485075188,-0.02066799755720848,0.06906219724971857,0.0022226993400369503,0,0,0,0
2.76,-0.40896688347252574,-0.5511055273419867,0.999659403186938,-0.058241574240638055,-0.09048947328345644,3.1271849761945423,0.5448525049102627,-0.08288911129154461,0.014960461953286847,-0.014881191365417174,-0.07995156296247166,-0.016642664347798545,0,0,0,0
2.80,-0.386671986964397,-0.5545129038908853,1.0002526386418304,-0.05799585751945517,-0.09235756734133735,3.1273774567614794,0.5670598620039934,-0.08666496724528765,0.01508865560620672,0.006249685436092417,-0.04751406485722853,0.0048956497145438,0,0,0,0
2.84,-0.36441725358315386,-0.5579142019536736,1.0006620484743043,-0.059558637455993844,-0.09080428679925888,3.128210593261068,0.5529838283395135,-0.08451518119150783,0.010172982647908781,-0.03883183039558234,0.038595790204692525,0.020701708853550573,0,0,0,0
