epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,57.4443,1.14501,0.62167,0.9264,0.98158,0.98333,0.98592,0.52481,1.49163,0.6174,1.09435,0.0015842,0.0015842,0.0015842
44,58.7541,1.13551,0.59887,0.94475,0.99314,1,0.995,0.58657,1.42863,0.59911,1.0844,0.0015743,0.0015743,0.0015743
45,60.0602,1.14423,0.62216,0.93941,1,0.99869,0.995,0.64382,1.3292,0.58488,1.05173,0.0015644,0.0015644,0.0015644
46,61.369,1.19045,0.61597,0.9406,0.99055,1,0.995,0.58831,1.37431,0.62422,1.07367,0.0015545,0.0015545,0.0015545
47,62.6721,1.14735,0.59043,0.92808,0.99873,1,0.995,0.52995,1.52183,0.59528,1.10858,0.0015446,0.0015446,0.0015446
48,63.9768,1.11726,0.58745,0.94972,0.99867,1,0.995,0.51522,1.52704,0.64379,1.10248,0.0015347,0.0015347,0.0015347
49,65.2811,1.17955,0.60927,0.94895,0.99834,1,0.995,0.56825,1.40281,0.61349,1.07691,0.0015248,0.0015248,0.0015248
50,66.5901,1.22327,0.6112,0.94983,0.9968,1,0.995,0.57131,1.48817,0.61673,1.05533,0.0015149,0.0015149,0.0015149
51,67.8927,1.20768,0.63392,0.94065,0.99587,1,0.995,0.59049,1.45584,0.59074,1.06584,0.001505,0.001505,0.001505
52,69.2052,1.18569,0.60999,0.94089,0.99748,1,0.995,0.56287,1.48283,0.59805,1.06193,0.0014951,0.0014951,0.0014951
53,70.5049,1.15184,0.59407,0.92661,0.99855,1,0.995,0.58147,1.41429,0.6002,1.05651,0.0014852,0.0014852,0.0014852
54,71.8062,1.10926,0.56217,0.93876,0.99873,1,0.995,0.6172,1.35798,0.554,1.03931,0.0014753,0.0014753,0.0014753
55,73.1136,1.11497,0.58662,0.93184,0.99862,1,0.995,0.56253,1.53954,0.59925,1.10572,0.0014654,0.0014654,0.0014654
56,74.42,1.16782,0.60177,0.9319,0.9985,1,0.995,0.59056,1.48588,0.5863,1.09411,0.0014555,0.0014555,0.0014555
57,75.7278,1.15939,0.60521,0.91058,0.99792,1,0.995,0.5576,1.51372,0.61124,1.1069,0.0014456,0.0014456,0.0014456
58,77.0296,1.12609,0.58165,0.91825,0.99861,1,0.995,0.61263,1.43131,0.55292,1.06039,0.0014357,0.0014357,0.0014357
59,78.3415,1.11281,0.57249,0.90671,0.99881,1,0.995,0.60931,1.4042,0.53615,1.06185,0.0014258,0.0014258,0.0014258
60,79.6482,1.12074,0.54915,0.93045,0.99869,1,0.995,0.55592,1.52555,0.55927,1.0949,0.0014159,0.0014159,0.0014159
61,80.9506,1.06455,0.56218,0.91079,0.9988,1,0.995,0.57744,1.5472,0.56737,1.09231,0.001406,0.001406,0.001406
62,82.2641,1.10008,0.5494,0.91427,0.99864,1,0.995,0.61203,1.40012,0.5479,1.04423,0.0013961,0.0013961,0.0013961
63,83.5679,1.1,0.57367,0.90771,0.99796,1,0.995,0.5463,1.56273,0.60216,1.09928,0.0013862,0.0013862,0.0013862
64,84.872,1.04661,0.58191,0.90254,0.99693,1,0.995,0.56231,1.5435,0.60566,1.09855,0.0013763,0.0013763,0.0013763
65,86.1694,1.05385,0.53336,0.91239,0.99999,1,0.995,0.62742,1.43569,0.56234,1.04708,0.0013664,0.0013664,0.0013664
66,87.4672,1.06047,0.56113,0.90235,0.99876,1,0.995,0.62813,1.38723,0.54548,1.0394,0.0013565,0.0013565,0.0013565
67,88.7778,1.08652,0.54695,0.92169,0.99551,1,0.995,0.65674,1.33193,0.52936,1.01745,0.0013466,0.0013466,0.0013466
68,90.0949,1.08021,0.54045,0.91596,0.99825,1,0.995,0.57046,1.52711,0.58036,1.09625,0.0013367,0.0013367,0.0013367
69,91.3994,1.08456,0.54066,0.90636,0.99824,1,0.995,0.61427,1.34988,0.54106,1.03113,0.0013268,0.0013268,0.0013268
70,92.7101,1.07926,0.53482,0.93262,0.99849,1,0.995,0.56912,1.489,0.58111,1.07131,0.0013169,0.0013169,0.0013169
71,94.0197,1.08892,0.53971,0.91792,0.99712,1,0.995,0.51988,1.63559,0.61713,1.12281,0.001307,0.001307,0.001307
72,95.3266,1.11178,0.56098,0.91803,0.99833,1,0.995,0.62366,1.3684,0.56157,1.03796,0.0012971,0.0012971,0.0012971
73,96.6312,1.10293,0.55647,0.93052,0.99824,1,0.995,0.53324,1.61452,0.61273,1.09122,0.0012872,0.0012872,0.0012872
74,97.9368,1.11829,0.5505,0.91539,0.9977,1,0.995,0.54553,1.54748,0.63235,1.10001,0.0012773,0.0012773,0.0012773
75,99.2424,1.04375,0.53279,0.90787,0.99873,1,0.995,0.57401,1.46696,0.5895,1.03878,0.0012674,0.0012674,0.0012674
76,100.557,1.08145,0.54664,0.91778,0.99868,1,0.995,0.60777,1.38341,0.57229,1.04286,0.0012575,0.0012575,0.0012575
77,101.862,1.13681,0.5414,0.93529,0.99851,1,0.995,0.59035,1.41344,0.53787,1.04953,0.0012476,0.0012476,0.0012476
78,103.167,1.05085,0.54639,0.90288,0.99885,1,0.995,0.6295,1.33536,0.52521,1.00371,0.0012377,0.0012377,0.0012377
79,104.471,1.02018,0.51927,0.90271,0.99877,1,0.995,0.60208,1.43108,0.53708,1.04065,0.0012278,0.0012278,0.0012278
80,105.786,1.08395,0.53998,0.89649,0.9988,1,0.995,0.57953,1.49872,0.55623,1.09781,0.0012179,0.0012179,0.0012179
81,107.088,0.98663,0.50806,0.88241,0.99873,1,0.995,0.58027,1.47168,0.56459,1.06151,0.001208,0.001208,0.001208
82,108.396,1.02095,0.51909,0.90399,0.99861,1,0.995,0.55691,1.48782,0.60427,1.08077,0.0011981,0.0011981,0.0011981
83,109.705,1.03098,0.51517,0.90488,0.99886,1,0.995,0.55535,1.50569,0.59248,1.05695,0.0011882,0.0011882,0.0011882
84,111.014,1.02078,0.53197,0.89605,0.99883,1,0.995,0.59573,1.42832,0.58117,1.08919,0.0011783,0.0011783,0.0011783
85,112.319,1.0342,0.5452,0.89339,0.99882,1,0.995,0.56704,1.52883,0.60259,1.06187,0.0011684,0.0011684,0.0011684
86,113.64,1.02048,0.51274,0.89396,0.98222,0.98333,0.98898,0.55985,1.5979,0.60788,1.11105,0.0011585,0.0011585,0.0011585
87,114.941,1.0952,0.55784,0.90911,0.99852,1,0.995,0.59677,1.43309,0.54817,1.05655,0.0011486,0.0011486,0.0011486
88,116.253,1.03076,0.53292,0.90709,0.99426,1,0.995,0.56743,1.49815,0.62733,1.0763,0.0011387,0.0011387,0.0011387
89,117.569,1.02765,0.5306,0.90015,0.99535,1,0.995,0.5725,1.51593,0.54303,1.11827,0.0011288,0.0011288,0.0011288
90,118.875,1.06146,0.52892,0.89415,0.99883,1,0.995,0.53187,1.63104,0.59297,1.10325,0.0011189,0.0011189,0.0011189
91,120.199,0.96304,0.51967,0.89248,0.99858,1,0.995,0.57773,1.46361,0.54421,1.06162,0.001109,0.001109,0.001109
92,121.514,0.98721,0.51569,0.89346,0.99874,1,0.995,0.6305,1.47634,0.57245,1.05867,0.0010991,0.0010991,0.0010991
93,122.828,1.00012,0.51398,0.89037,0.99883,1,0.995,0.59134,1.5731,0.55585,1.08504,0.0010892,0.0010892,0.0010892
94,124.132,0.95365,0.49417,0.8695,0.99858,1,0.995,0.62945,1.43831,0.53513,1.07147,0.0010793,0.0010793,0.0010793
95,125.441,0.99536,0.51151,0.88477,0.9862,1,0.995,0.63632,1.43546,0.52986,1.05335,0.0010694,0.0010694,0.0010694
96,126.751,1.03219,0.52182,0.89344,0.99874,1,0.995,0.60514,1.45995,0.55154,1.0634,0.0010595,0.0010595,0.0010595
97,128.07,0.94732,0.49954,0.89311,0.99856,1,0.995,0.56335,1.53764,0.59597,1.07619,0.0010496,0.0010496,0.0010496
98,129.409,0.97007,0.50275,0.88796,0.99871,1,0.995,0.55307,1.5168,0.59886,1.07787,0.0010397,0.0010397,0.0010397
99,130.727,0.97616,0.49879,0.88295,0.99861,1,0.995,0.55325,1.53656,0.56435,1.07939,0.0010298,0.0010298,0.0010298
100,132.068,0.98677,0.51624,0.88719,0.99866,1,0.995,0.58171,1.48397,0.5646,1.06441,0.0010199,0.0010199,0.0010199
101,133.388,0.96252,0.49445,0.8925,0.99882,1,0.995,0.57684,1.51782,0.56719,1.0706,0.00101,0.00101,0.00101
102,134.715,0.9851,0.50645,0.89158,0.99882,1,0.995,0.55767,1.56767,0.54879,1.07824,0.0010001,0.0010001,0.0010001
103,136.026,0.98587,0.49483,0.88027,0.9989,1,0.995,0.53364,1.64171,0.58766,1.10746,0.0009902,0.0009902,0.0009902
104,137.35,1.0161,0.49162,0.89104,0.9988,1,0.995,0.5948,1.46835,0.55281,1.04868,0.0009803,0.0009803,0.0009803
105,138.654,0.9874,0.51237,0.87742,0.99785,1,0.995,0.54415,1.61032,0.57709,1.11423,0.0009704,0.0009704,0.0009704
106,139.967,0.94152,0.48067,0.86968,0.99917,1,0.995,0.59946,1.48226,0.5537,1.05703,0.0009605,0.0009605,0.0009605
107,141.273,0.96078,0.48709,0.88964,0.99887,1,0.995,0.58824,1.45435,0.5629,1.05683,0.0009506,0.0009506,0.0009506
108,142.592,0.933,0.46666,0.87803,0.99891,1,0.995,0.60652,1.44245,0.54811,1.03979,0.0009407,0.0009407,0.0009407
109,143.9,0.92332,0.47654,0.88044,0.99893,1,0.995,0.59833,1.47222,0.53715,1.05553,0.0009308,0.0009308,0.0009308
110,145.219,0.95741,0.47471,0.86702,0.98214,0.98333,0.98567,0.55966,1.51982,0.57985,1.05661,0.0009209,0.0009209,0.0009209
111,146.535,0.93391,0.47914,0.87382,0.99889,1,0.995,0.59365,1.46316,0.55009,1.06445,0.000911,0.000911,0.000911
112,147.851,0.9128,0.47126,0.86957,0.99888,1,0.995,0.58596,1.45343,0.55107,1.03557,0.0009011,0.0009011,0.0009011
113,149.163,0.92474,0.47602,0.86506,0.9989,1,0.995,0.58815,1.45892,0.54151,1.06193,0.0008912,0.0008912,0.0008912
114,150.491,0.92781,0.4782,0.86548,0.99892,1,0.995,0.61366,1.44246,0.55284,1.06793,0.0008813,0.0008813,0.0008813
115,151.805,0.90458,0.48239,0.88264,0.9989,1,0.995,0.56799,1.57244,0.58606,1.09909,0.0008714,0.0008714,0.0008714
116,153.122,0.93172,0.46905,0.85984,0.99892,1,0.995,0.57116,1.56294,0.57256,1.09318,0.0008615,0.0008615,0.0008615
117,154.426,0.8987,0.47337,0.86761,0.99895,1,0.995,0.57331,1.59978,0.58141,1.09852,0.0008516,0.0008516,0.0008516
118,155.737,0.89697,0.45028,0.86711,0.99891,1,0.995,0.55289,1.64508,0.59845,1.10188,0.0008417,0.0008417,0.0008417
119,157.043,0.95842,0.48828,0.89074,0.99886,1,0.995,0.62802,1.48378,0.57162,1.05626,0.0008318,0.0008318,0.0008318
