epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,64.9224,0.40413,0.30755,0.86029,0.99893,1,0.995,0.9584,0.32207,0.2355,0.83725,0.0015743,0.0015743,0.0015743
45,66.3656,0.40308,0.31178,0.86891,0.99907,1,0.995,0.96146,0.32913,0.26113,0.84042,0.0015644,0.0015644,0.0015644
46,67.8026,0.40113,0.3094,0.86908,0.9988,1,0.995,0.96109,0.34088,0.24455,0.8381,0.0015545,0.0015545,0.0015545
47,69.2506,0.42941,0.31819,0.88377,0.99735,1,0.995,0.94398,0.34764,0.242,0.83706,0.0015446,0.0015446,0.0015446
48,70.6887,0.41391,0.31166,0.85959,0.99894,1,0.995,0.95707,0.32345,0.2308,0.83223,0.0015347,0.0015347,0.0015347
49,72.1172,0.39843,0.29984,0.8604,0.99916,1,0.995,0.9457,0.34393,0.25041,0.83657,0.0015248,0.0015248,0.0015248
50,73.5553,0.39566,0.28793,0.85714,0.99918,1,0.995,0.96081,0.37787,0.27215,0.84448,0.0015149,0.0015149,0.0015149
51,74.9991,0.39431,0.30356,0.85989,0.99903,1,0.995,0.96636,0.30428,0.23045,0.83009,0.001505,0.001505,0.001505
52,76.4374,0.4061,0.30565,0.86374,0.99905,1,0.995,0.95331,0.31491,0.23889,0.8437,0.0014951,0.0014951,0.0014951
53,77.8547,0.39514,0.30125,0.85694,0.99873,1,0.995,0.94174,0.35424,0.25004,0.8336,0.0014852,0.0014852,0.0014852
54,79.2881,0.39215,0.30029,0.86624,0.99814,1,0.995,0.96576,0.34225,0.24506,0.83232,0.0014753,0.0014753,0.0014753
55,80.7277,0.40991,0.30166,0.88248,0.99899,1,0.995,0.93093,0.36085,0.25269,0.85665,0.0014654,0.0014654,0.0014654
56,82.1739,0.39878,0.29416,0.86667,0.999,1,0.995,0.95686,0.35631,0.26841,0.85338,0.0014555,0.0014555,0.0014555
57,83.6125,0.39058,0.28954,0.85395,0.99879,1,0.995,0.92737,0.40503,0.28995,0.87084,0.0014456,0.0014456,0.0014456
58,85.0572,0.38234,0.2776,0.8542,0.99907,1,0.995,0.92469,0.39233,0.30513,0.87583,0.0014357,0.0014357,0.0014357
59,86.4945,0.39202,0.28506,0.86425,0.99912,1,0.995,0.94808,0.37185,0.25227,0.85651,0.0014258,0.0014258,0.0014258
60,87.9339,0.41064,0.31478,0.88458,0.99908,1,0.995,0.93934,0.38033,0.22983,0.85612,0.0014159,0.0014159,0.0014159
61,89.3739,0.38045,0.27985,0.85581,0.99526,1,0.995,0.93628,0.34995,0.27078,0.85427,0.001406,0.001406,0.001406
62,90.8263,0.37998,0.27714,0.84671,0.99897,1,0.995,0.92558,0.42854,0.32811,0.8741,0.0013961,0.0013961,0.0013961
63,92.2673,0.39022,0.28441,0.85354,0.99912,1,0.995,0.94916,0.39433,0.26403,0.86534,0.0013862,0.0013862,0.0013862
64,93.7136,0.38375,0.2854,0.86511,0.99875,1,0.995,0.9503,0.3782,0.26483,0.87856,0.0013763,0.0013763,0.0013763
65,95.1478,0.38705,0.28121,0.86461,0.99915,1,0.995,0.96027,0.34693,0.2428,0.84693,0.0013664,0.0013664,0.0013664
66,96.5929,0.40799,0.29222,0.86935,0.99914,1,0.995,0.96875,0.3327,0.23301,0.83872,0.0013565,0.0013565,0.0013565
67,98.0458,0.38784,0.29175,0.85871,0.99918,1,0.995,0.97623,0.31055,0.21572,0.82732,0.0013466,0.0013466,0.0013466
68,99.4971,0.38358,0.27868,0.86253,0.99917,1,0.995,0.95162,0.36195,0.23515,0.84762,0.0013367,0.0013367,0.0013367
69,100.927,0.37861,0.27898,0.86311,0.99913,1,0.995,0.93882,0.33678,0.21297,0.83982,0.0013268,0.0013268,0.0013268
70,102.376,0.35889,0.25811,0.84933,0.99915,1,0.995,0.96964,0.28296,0.21017,0.82567,0.0013169,0.0013169,0.0013169
71,103.823,0.37321,0.27068,0.84875,0.99903,1,0.995,0.94561,0.34764,0.2286,0.83647,0.001307,0.001307,0.001307
72,105.268,0.39638,0.2807,0.86318,0.99795,1,0.995,0.93098,0.3851,0.28155,0.8571,0.0012971,0.0012971,0.0012971
73,106.705,0.38119,0.27722,0.85964,0.99759,1,0.995,0.94267,0.31374,0.274,0.83356,0.0012872,0.0012872,0.0012872
74,108.15,0.3714,0.27389,0.85304,0.99832,1,0.995,0.94075,0.32164,0.21098,0.8313,0.0012773,0.0012773,0.0012773
75,109.603,0.37458,0.27716,0.86505,0.99912,1,0.995,0.93835,0.34414,0.23088,0.83649,0.0012674,0.0012674,0.0012674
76,111.053,0.35985,0.25963,0.84004,0.99915,1,0.995,0.94916,0.3188,0.22056,0.83389,0.0012575,0.0012575,0.0012575
77,112.496,0.41068,0.28416,0.86903,0.99914,1,0.995,0.96773,0.29006,0.2099,0.82691,0.0012476,0.0012476,0.0012476
