Time,Smoothed_X_Position,Smoothed_X_Speed,Smoothed_X_Control
0.0,-1.9060695448819187,0.007788409112780004,20
0.04,-1.9057580085174075,0.011655347288558326,20
0.08,-1.9052917946258652,0.016821277323447736,20
0.12,-1.9046189435329273,0.02390446765437315,20
0.16,-1.9036627648267523,0.03384448384837202,20
0.2,-1.9023089854728175,0.047605028183211884,20
0.24,-1.900404784345489,0.06590536423471405,20
0.28,-1.8977685697761004,0.08903389131516004,20
0.32,-1.894207214123494,0.1167704333156383,20
0.36,-1.8895363967908685,0.14841949139871025,20
0.4,-1.88359961713492,0.18293575325136757,20
0.44,-1.8762821870048654,0.21910602220290287,20
0.48,-1.8675179461167493,0.25574306332083463,20
0.52,-1.8572882235839159,0.29185022285526663,20
0.56,-1.8456142146697052,0.3267295367083922,20
0.6,-1.8325450332013695,0.36002518831168007,20
0.64,-1.8181440256689023,0.3917110530004986,20
0.68,-1.8024755835488824,0.4220391990101713,20
0.72,-1.7855940155884755,0.4514648025758128,20
0.76,-1.767535423485443,0.4805565274824286,20
0.8,-1.7483131623861459,0.5098958524834774,20
0.84,-1.7279173282868068,0.5399680293812104,20
0.88,-1.7063186071115584,0.5710522192967971,20
0.92,-1.6834765183396865,0.6031264361347322,20
0.96,-1.6593514608942972,0.6358088449917532,20
1.0,-1.633919107094627,0.6683554888640753,0
1.04,-1.607184887540064,0.6997245627600124,0
1.08,-1.5791959050296636,0.7287024597601333,0
1.12,-1.5500478066392582,0.7540721748032109,0
1.16,-1.5198849196471298,0.7747939637776147,0
1.2,-1.4888931610960252,0.7901632209796283,0
1.24,-1.45728663225684,0.7999133827890303,0
1.28,-1.4252900969452789,0.8042436444656409,0
1.32,-1.3931203511666532,0.8037690134165221,0
1.36,-1.3609695906299923,0.7994070003997711,0
1.4,-1.3289933106140015,0.7922270348293958,0
1.44,-1.2973042292208257,0.7832946447288158,0
1.48,-1.265972443431673,0.7735413699597016,0
1.52,-1.235030788633285,0.7636823588225095,0
1.56,-1.2044834942803846,0.7541891125013245,0
1.6,-1.1743159297803316,0.7453104128960553,0
1.64,-1.1445035132644894,0.7371248222417637,0
1.68,-1.1150185203748189,0.7296045411749441,0
1.72,-1.085834338727821,0.7226722186227663,0
1.76,-1.0569274499829104,0.7162390501571525,0
1.8,-1.0282778879766243,0.7102223219050657,0
1.84,-0.9998689951004217,0.7045487245194548,0
1.88,-0.9716870461196435,0.6991517881648368,0
1.92,-0.94372097459305,0.6939682778119571,0
1.96,-0.9159622434805718,0.6889347036707988,0
2.0,-0.8884048553337398,0.6839847787109749,0
