Time,Smoothed_Z_Speed,z_control
0.0,-0.025757713649704472,20
0.04,-0.01357348025883831,20
0.08,0.02885890857083906,20
0.12,0.12096825429713798,20
0.16,0.2616587378004076,20
0.2,0.42400456768929007,20
0.24,0.5696269171092117,20
0.28,0.6705456496744755,20
0.32,0.721795873756359,20
0.36,0.7378072751228426,20
0.4,0.738906953904156,20
0.44,0.7394632491563302,20
0.48,0.7442245799160196,20
0.52,0.7515081553570446,20
0.56,0.7581839550697356,20
0.6,0.7627827989371783,20
0.64,0.7659976098088828,20
0.68,0.7695059903148782,20
0.72,0.7743169704323483,20
0.76,0.7797425897676069,20
0.8,0.7838940801063843,20
0.84,0.7857617271324113,20
0.88,0.7873552718617838,20
0.92,0.7932791183372978,20
0.96,0.8061954204328425,20
1.0,0.8201973095671833,0
1.04,0.8178290104692787,0
1.08,0.7761863541191016,0
1.12,0.6810746291692371,0
1.16,0.5397627774537894,0
1.2,0.3811900179842509,0
1.24,0.2415112413455378,0
1.28,0.14517279416532136,0
1.32,0.09517716650246366,0
1.36,0.07763571367106481,0
1.4,0.07422771829559416,0
1.44,0.07233572416611156,0
1.48,0.06763646408110557,0
1.52,0.06096574355536899,0
1.56,0.05420154236152053,0
1.6,0.048249908881531356,0
1.64,0.04317783050581392,0
1.68,0.03889863075237643,0
1.72,0.035188764928317795,0
1.76,0.031210014282162524,0
1.8,0.025656186226052924,0
1.84,0.018187301081074025,0
1.88,0.011189109535258979,0
1.92,0.009461019040585272,0
1.96,0.015974225348058813,0
2.0,0.025194950493723223,-20
2.04,0.019670374963515203,-20
2.08,-0.02413877959125399,-20
2.12,-0.12141890302480585,-20
2.16,-0.26569794877654984,-20
2.2,-0.42829525649406563,-20
2.24,-0.5727529994227765,-20
2.28,-0.6739361513454889,-20
2.32,-0.7280886858692825,-20
2.36,-0.7486524751678436,-20
2.4,-0.7539664813548563,-20
2.44,-0.7569122520926674,-20
2.48,-0.7619583042735412,-20
2.52,-0.7682168304332271,-20
2.56,-0.7738857595900983,-20
2.6,-0.7786216652201416,-20
2.64,-0.7833162811961725,-20
2.68,-0.7887050817032226,-20
2.72,-0.7943511177298579,-20
2.76,-0.7986774066772895,-20
2.8,-0.8000242382274148,-20
2.84,-0.7983751641730541,-20
2.88,-0.7967709607473339,-20
2.92,-0.8004735170091481,-20
2.96,-0.8122605566620922,-20
3.0,-0.8254825241050312,0
3.04,-0.8209756217471609,0
3.08,-0.7740965578751147,0
3.12,-0.6706080175241047,0
3.16,-0.5202620635213595,0
3.2,-0.355698149996414,0
3.24,-0.21547516497289476,0
3.28,-0.12363807483229405,0
3.32,-0.0806116003380708,0
3.36,-0.06965289408541464,0
3.4,-0.07081848412010538,0
3.44,-0.07135895150079952,0
3.48,-0.06767658321130132,0
3.52,-0.061492231302601175,0
3.56,-0.055393552877852636,0
3.6,-0.05066418081723367,0
3.64,-0.047190494669313576,0
3.68,-0.04414586022230549,0
3.72,-0.04071214175373483,0
3.76,-0.03662764868093693,0
3.8,-0.032340435962491254,0
3.84,-0.028639199339167143,0
3.88,-0.026088799969112286,0
3.92,-0.024842406272310158,0
