Time,Smoothed_Y_Speed,y_control
0.0,0.01705768653598727,20
0.04,0.021883876944078784,20
0.08,0.02846094048360448,20
0.12,0.03718623367364726,20
0.16,0.04876859086339613,20
0.2,0.06397679559654867,20
0.24,0.08341847894188792,20
0.28,0.10739418881348661,20
0.32,0.13583536259407225,20
0.36,0.16830819083100135,20
0.4,0.20405552403053862,20
0.44,0.24205315593410215,20
0.48,0.2810699740376732,20
0.52,0.31973644545953417,0
0.56,0.356632266624346,0
0.6,0.3903971819749219,0
0.64,0.4198562775297676,0
0.68,0.444141800974468,0
0.72,0.4627888637697475,0
0.76,0.47578108833798427,0
0.8,0.48352861821351345,0
0.84,0.4867776060806017,0
0.88,0.4864709868514172,0
0.92,0.4835950721001514,0
0.96,0.4790491199182678,0
1.0,0.4735645100994612,0
1.04,0.46768096488252753,0
1.08,0.4617685504991309,0
1.12,0.45607390286224736,0
1.16,0.4507683442601329,0
1.2,0.4459805872542799,0
1.24,0.44180543255243343,0
1.28,0.43829195248407116,0
1.32,0.43542564840602926,0
1.36,0.4331214883667889,0
1.4,0.4312369313100306,0
1.44,0.4296020375215204,0
1.48,0.42805486016833094,0
1.52,0.42646891169906276,0
1.56,0.42476564661642624,0
1.6,0.42291361984889697,0
1.64,0.4209206402818966,0
1.68,0.41882381284452097,0
1.72,0.4166789610579147,0
1.76,0.41454978825028466,0
1.8,0.41249751102252485,0
1.84,0.41057119892783933,0
1.88,0.4087986651957032,0
1.92,0.4071793181541439,0
1.96,0.405682169776711,0
2.0,0.40425122930659585,0
2.04,0.40281720752082806,0
2.08,0.40131173789082486,0
2.12,0.39967978262208104,0
2.16,0.39788730239901926,0
2.2,0.39592400720777077,0
2.24,0.3938034528490786,0
2.28,0.39156237292406193,0
2.32,0.3892580860946876,0
2.36,0.38696090202245403,0
2.4,0.38474035049489985,0
2.44,0.38264833178929536,0
2.48,0.3807056762859723,0
2.52,0.3788987184006387,0
2.56,0.37718874787924794,0
2.6,0.3755311807214279,0
2.64,0.3738960715594847,0
2.68,0.3722802663997521,0
2.72,0.370705552536571,0
2.76,0.36920452478865495,0
2.8,0.3678014148901204,0
2.84,0.3664957758301918,0
2.88,0.36525492455453945,0
2.92,0.364018836106339,0
2.96,0.36271699553497294,0
3.0,0.3612903840363918,0
3.04,0.35970854905088,0
3.08,0.35797486273730916,0
3.12,0.35611941623494014,0
3.16,0.35418436407870235,0
3.2,0.35220904621521276,0
3.24,0.35022066789975326,0
3.28,0.348231625280801,0
3.32,0.3462407952955687,0
3.36,0.34423620360869156,0
3.4,0.3421993577717247,0
3.44,0.34011352813083373,0
3.48,0.33797593101626555,0
3.52,0.33580825273118176,0
3.56,0.33365775794673425,0
3.6,0.3315862110080142,0
