Time,Smoothed_X_Position
0.0,-1.9060695448819187
0.04,-1.9057580085174075
0.08,-1.9052917946258652
0.12,-1.9046189435329273
0.16,-1.9036627648267523
0.2,-1.9023089854728175
0.24,-1.900404784345489
0.28,-1.8977685697761004
0.32,-1.894207214123494
0.36,-1.8895363967908685
0.4,-1.88359961713492
0.44,-1.8762821870048654
0.48,-1.8675179461167493
0.52,-1.8572882235839159
0.56,-1.8456142146697052
0.6,-1.8325450332013695
0.64,-1.8181440256689023
0.68,-1.8024755835488824
0.72,-1.7855940155884755
0.76,-1.767535423485443
0.8,-1.7483131623861459
0.84,-1.7279173282868068
0.88,-1.7063186071115584
0.92,-1.6834765183396865
0.96,-1.6593514608942972
1.0,-1.633919107094627
1.04,-1.607184887540064
1.08,-1.5791959050296636
1.12,-1.5500478066392582
1.16,-1.5198849196471298
1.2,-1.4888931610960252
1.24,-1.45728663225684
1.28,-1.4252900969452789
1.32,-1.3931203511666532
1.36,-1.3609695906299923
1.4,-1.3289933106140015
1.44,-1.2973042292208257
1.48,-1.265972443431673
1.52,-1.235030788633285
1.56,-1.2044834942803846
1.6,-1.1743159297803316
1.64,-1.1445035132644894
1.68,-1.1150185203748189
1.72,-1.085834338727821
1.76,-1.0569274499829104
1.8,-1.0282778879766243
1.84,-0.9998689951004217
1.88,-0.9716870461196435
1.92,-0.94372097459305
1.96,-0.9159622434805718
2.0,-0.8884048553337398
2.04,-0.8610454641853008
2.08,-0.8338834801550252
2.12,-0.8069210212034409
2.16,-0.7801626126915412
2.2,-0.7536146325499719
2.24,-0.7272845991018557
2.28,-0.7011804655349019
2.32,-0.6753101116239941
2.36,-0.6496812209883142
2.4,-0.624301656326303
2.44,-0.5991802260730756
2.48,-0.5743274619777268
2.52,-0.5497559258679057
2.56,-0.525479726922813
2.6,-0.5015132199182848
2.64,-0.47786910434983454
2.68,-0.4545562968614943
2.72,-0.43157800235030574
2.76,-0.4089303700328637
2.8,-0.3866020123554446
2.84,-0.36457451245938743
2.88,-0.3428238828075365
2.92,-0.32132279203637915
2.96,-0.3000432340556821
3.0,-0.2789591714963578
3.04,-0.2580486427932258
3.08,-0.2372949797003159
3.12,-0.21668707499793866
3.16,-0.19621888227318363
3.2,-0.1758884187359867
3.24,-0.1556965190287275
3.28,-0.1356455209123649
3.32,-0.11573799508076058
3.36,-0.09597561407494519
3.4,-0.07635832179798765
3.44,-0.05688405549780471
3.48,-0.037549240245924535
3.52,-0.01835000333886185
3.56,0.0007163753456569923
3.6,0.019650531329380726
3.64,0.038451176642732676
3.68,0.05711637044908488
3.72,0.07564536920199043
3.76,0.09404031979405884
3.8,0.11230719651043926
3.84,0.1304556744544598
3.88,0.14849794346000542
3.92,0.1664467494347292
3.96,0.184313159456492
4.0,0.20210462650497074
4.04,0.21982382846847123
4.08,0.23746847071117028
4.12,0.25503189541719334
4.16,0.2725041389994223
4.2,0.2898731187089038
4.24,0.3071258217739163
4.28,0.324249546325591
4.32,0.34123326707627677
4.36,0.3580690333924054
4.4,0.3747530768866823
4.44,0.39128622429583404
4.48,0.40767337687782074
4.52,0.4239221283233447
4.56,0.4400408725716179
4.6,0.4560368818216815
4.64,0.4719147877411837
4.68,0.487675729748251
4.72,0.5033172366808454
4.76,0.518833752629531
4.8,0.5342176221869064
4.84,0.5494603085389892
4.88,0.5645536273553367
4.92,0.5794908258857854
4.96,0.5942673771974071
5.0,0.6088813626164475
5.04,0.6233333190195921
5.08,0.6376255159974735
5.12,0.6517608250788092
5.16,0.6657415450729898
5.2,0.6795685969191617
5.24,0.6932413521939144
