Time,Smoothed_Y_Position,Smoothed_Y_Speed,Smoothed_Y_Control
0.0,-1.8188262096553174,0.01705768653598727,20
0.04,-1.818143902193878,0.021883876944078784,20
0.08,-1.8172685471161147,0.02846094048360448,20
0.12,-1.8161301094967706,0.03718623367364726,20
0.16,-1.8146426601498247,0.04876859086339613,20
0.2,-1.8126919165152888,0.06397679559654867,20
0.24,-1.8101328446914269,0.08341847894188792,20
0.28,-1.8067961055337514,0.10739418881348661,20
0.32,-1.802500337981212,0.13583536259407225,20
0.36,-1.797066923477449,0.16830819083100135,20
0.4,-1.790334595844209,0.20405552403053862,20
0.44,-1.7821723748829874,0.24205315593410215,20
0.48,-1.7724902486456233,0.2810699740376732,20
0.52,-1.7612474496841164,0.31973644545953417,0
0.56,-1.748457991865735,0.356632266624346,0
0.6,-1.7341927012007612,0.3903971819749219,0
0.64,-1.7185768139217643,0.4198562775297676,0
0.68,-1.7017825628205736,0.444141800974468,0
0.72,-1.6840168907815949,0.4627888637697475,0
0.76,-1.665505336230805,0.47578108833798427,0
0.8,-1.6464740926972856,0.48352861821351345,0
0.84,-1.627132947968745,0.4867776060806017,0
0.88,-1.607661843725521,0.4864709868514172,0
0.92,-1.5882030042514643,0.4835950721001514,0
0.96,-1.5688592013674583,0.4790491199182678,0
1.0,-1.5496972365707276,0.4735645100994612,0
1.04,-1.530754656166749,0.46768096488252753,0
1.08,-1.512047417571448,0.4617685504991309,0
1.12,-1.4935766755514828,0.45607390286224736,0
1.16,-1.4753337194369929,0.4507683442601329,0
1.2,-1.4573029856665876,0.4459805872542799,0
1.24,-1.4394637621764164,0.44180543255243343,0
1.28,-1.421791544874319,0.43829195248407116,0
1.32,-1.4042598667749562,0.43542564840602926,0
1.36,-1.386842840838715,0.4331214883667889,0
1.4,-1.3695179813040435,0.4312369313100306,0
1.44,-1.3522685040516422,0.4296020375215204,0
1.48,-1.3350844225507814,0.42805486016833094,0
1.52,-1.3179622281440482,0.42646891169906276,0
1.56,-1.3009034716760857,0.42476564661642624,0
1.6,-1.2839128458114286,0.42291361984889697,0
1.64,-1.2669963010174727,0.4209206402818966,0
1.68,-1.2501594754061969,0.41882381284452097,0
1.72,-1.233406522892416,0.4166789610579147,0
1.76,-1.2167393644500994,0.41454978825028466,0
1.8,-1.200157372920088,0.41249751102252485,0
1.84,-1.183657472479187,0.41057119892783933,0
1.88,-1.1672346245220735,0.4087986651957032,0
1.92,-1.1508826779142454,0.4071793181541439,0
1.96,-1.1345955051880796,0.405682169776711,0
2.0,-1.1183682183970112,0.40425122930659585,0
2.04,-1.1021981692247473,0.40281720752082806,0
2.08,-1.0860854809239142,0.40131173789082486,0
2.12,-1.0700330114082812,0.39967978262208104,0
2.16,-1.054045820103398,0.39788730239901926,0
2.2,-1.0381303280074372,0.39592400720777077,0
2.24,-1.0222933677191264,0.3938034528490786,0
2.28,-1.0065412296051632,0.39156237292406193,0
2.32,-0.9908787346882008,0.3892580860946876,0
2.36,-0.9753084112444133,0.38696090202245403,0
2.4,-0.9598299751635151,0.38474035049489985,0
2.44,-0.9444403611437191,0.38264833178929536,0
2.48,-0.9291344278721473,0.3807056762859723,0
2.52,-0.9139062008207084,0.3788987184006387,0
2.56,-0.8987502520846828,0.37718874787924794,0
2.6,-0.8836627021695129,0.3755311807214279,0
2.64,-0.8686414549406558,0.3738960715594847,0
2.68,-0.8536856120782764,0.3722802663997521,0
2.72,-0.8387944014222863,0.370705552536571,0
2.76,-0.8239661793208235,0.36920452478865495,0
2.8,-0.8091979983292773,0.3678014148901204,0
2.84,-0.7944859417336725,0.3664957758301918,0
2.88,-0.7798261107004648,0.36525492455453945,0
2.92,-0.7652159137182832,0.364018836106339,0
2.96,-0.7506551602740297,0.36271699553497294,0
3.0,-0.7361464804526308,0.3612903840363918,0
3.04,-0.7216948650911751,0.35970854905088,0
3.08,-0.7073065231291399,0.35797486273730916,0
3.12,-0.6929875286196475,0.35611941623494014,0
3.16,-0.6787427519702499,0.35418436407870235,0
3.2,-0.6645753774071018,0.35220904621521276,0
3.24,-0.6504870155584933,0.35022066789975326,0
3.28,-0.6364781888425032,0.348231625280801,0
3.32,-0.6225489238312711,0.3462407952955687,0
3.36,-0.6086992920194484,0.34423620360869156,0
3.4,-0.5949298438751007,0.3421993577717247,0
3.44,-0.5812418695642317,0.34011352813083373,0
3.48,-0.5676373284389984,0.33797593101626555,0
3.52,-0.5541182911983478,0.33580825273118176,0
3.56,-0.5406859610891005,0.33365775794673425,0
3.6,-0.5273396507712311,0.3315862110080142,0
3.64,-0.5140762023309106,0.3296514105953968,0
3.68,-0.5008901459070947,0.3278893897907406,0
3.72,-0.48777457031546506,0.3263029926963326,0
3.76,-0.47472245060761176,0.324858297720218,0
3.8,-0.46172811869880304,0.32348782031916545,0
3.84,-0.4487886058860364,0.32209931307058265,0
3.88,-0.4359046333632131,0.32058966713210263,0
3.92,-0.423081046677929,0.31886312980604625,0
3.96,-0.41032652148568716,0.31685137534125524,0
4.0,-0.39765246647203695,0.31453099799592793,0
4.04,-0.38507122655219983,0.3119334700009732,0
4.08,-0.3725938877521609,0.3091442623612953,0
4.12,-0.3602281172577091,0.30629069676203075,0
4.16,-0.34797648938722786,0.3035207748445498,0
4.2,-0.33583565839344587,0.30097714810368714,0
4.24,-0.3237965724692984,0.2987714381584017,0
4.28,-0.3118457149429623,0.29696399984538435,0
4.32,-0.29996715494914694,0.2955530174797008,0
4.36,-0.2881450342499589,0.294475287932873,0
4.4,-0.276366022732644,0.2936193644924423,0
