Time,Smoothed_X_Speed,x_control
0.0,0.007788409112780004,20
0.04,0.011655347288558326,20
0.08,0.016821277323447736,20
0.12,0.02390446765437315,20
0.16,0.03384448384837202,20
0.2,0.047605028183211884,20
0.24,0.06590536423471405,20
0.28,0.08903389131516004,20
0.32,0.1167704333156383,20
0.36,0.14841949139871025,20
0.4,0.18293575325136757,20
0.44,0.21910602220290287,20
0.48,0.25574306332083463,20
0.52,0.29185022285526663,20
0.56,0.3267295367083922,20
0.6,0.36002518831168007,20
0.64,0.3917110530004986,20
0.68,0.4220391990101713,20
0.72,0.4514648025758128,20
0.76,0.4805565274824286,20
0.8,0.5098958524834774,20
0.84,0.5399680293812104,20
0.88,0.5710522192967971,20
0.92,0.6031264361347322,20
0.96,0.6358088449917532,20
1.0,0.6683554888640753,0
1.04,0.6997245627600124,0
1.08,0.7287024597601333,0
1.12,0.7540721748032109,0
1.16,0.7747939637776147,0
1.2,0.7901632209796283,0
1.24,0.7999133827890303,0
1.28,0.8042436444656409,0
1.32,0.8037690134165221,0
1.36,0.7994070003997711,0
1.4,0.7922270348293958,0
1.44,0.7832946447288158,0
1.48,0.7735413699597016,0
1.52,0.7636823588225095,0
1.56,0.7541891125013245,0
1.6,0.7453104128960553,0
1.64,0.7371248222417637,0
1.68,0.7296045411749441,0
1.72,0.7226722186227663,0
1.76,0.7162390501571525,0
1.8,0.7102223219050657,0
1.84,0.7045487245194548,0
1.88,0.6991517881648368,0
1.92,0.6939682778119571,0
1.96,0.6889347036707988,0
2.0,0.6839847787109749,0
2.04,0.6790496007568897,0
2.08,0.6740614737896083,0
2.12,0.6689602127974925,0
2.16,0.6636995035392335,0
2.2,0.6582508362029033,0
2.24,0.6526033391738462,0
2.28,0.6467588477726938,0
2.32,0.6407222658919992,0
2.36,0.6344891165502797,0
2.4,0.6280357563306832,0
2.44,0.6213191023837217,0
2.48,0.6142884027455275,0
2.52,0.6069049736273174,0
2.56,0.5991626751132045,0
2.6,0.5911028892112563,0
2.64,0.5828201872085061,0
2.68,0.5744573627797136,0
2.72,0.5661908079360511,0
2.76,0.5582089419354771,0
2.8,0.5506874974014294,0
2.84,0.5437657412962732,0
2.88,0.537527269278934,0
2.92,0.5319889495174257,0
2.96,0.527101563983108,0
3.0,0.5227632175782995,0
3.04,0.5188415773227477,0
3.08,0.5151976175594313,0
3.12,0.5117048181188757,0
3.16,0.508261588429923,0
3.2,0.5047974926814802,0
3.24,0.501274952909065,0
3.28,0.49768814579010806,0
3.32,0.49405952514538465,0
3.36,0.49043230692393835,0
3.4,0.48685665750457363,0
3.44,0.4833703812970044,0
3.48,0.47998092267656717,0
3.52,0.47665946711297097,0
3.56,0.4733538995930934,0
3.6,0.4700161328337987,0
3.64,0.46662984515880507,0
3.68,0.4632249688226387,0
3.72,0.4598737648017104,0
3.76,0.45667191790951034,0
3.8,0.45371194860051345,0
3.84,0.4510567251386405,0
3.88,0.4487201493680946,0
3.92,0.4466602505440696,0
3.96,0.4447866762119688,0
4.0,0.44298004908751226,0
4.04,0.44111605606747606,0
4.08,0.4390856176505767,0
4.12,0.43680608955572325,0
4.16,0.4342244927370384,0
4.2,0.4313175766253119,0
4.24,0.4280931137918678,0
4.28,0.4245930187671443,0
4.32,0.4208941579032163,0
4.36,0.417101087356922,0
4.4,0.41332868522879346,0
4.44,0.4096788145496674,0
4.48,0.4062187861380989,0
4.52,0.40296860620682995,0
4.56,0.39990023125159035,0
4.6,0.39694764798755555,0
4.64,0.3940235501766823,0
4.68,0.39103767331485906,0
4.72,0.38791289871714096,0
4.76,0.38459673893438406,0
4.8,0.3810671588020703,0
4.84,0.3773329704086864,0
4.88,0.37342996326121813,0
4.92,0.3694137827905425,0
4.96,0.3653496354760116,0
5.0,0.36129891007861403,0
5.04,0.35730492444703554,0
5.08,0.35338272703339113,0
5.12,0.34951799985451504,0
5.16,0.3456762961542986,0
5.2,0.34181888186881615,0
5.24,0.33791927668529453,0
5.28,0.33397551326013186,0
5.32,0.3300148888598614,0
5.36,0.3260900222611496,0
5.4,0.3222677975367544,0
5.44,0.3186150050878911,0
5.48,0.3151847893471227,0
5.52,0.31200701702102374,0
5.56,0.30908442853420925,0
5.6,0.30639475738347965,0
5.64,0.30389684094773994,0
5.68,0.30153745090900075,0
5.72,0.2992565312165185,0
5.76,0.2969909749085231,0
