Time,Smoothed_YAW_Position
0.0,-0.0590337660453351
0.04,-0.06194869691727627
0.08,-0.06426721962172233
0.12,-0.06460417914449987
0.16,-0.060935387777749
0.2,-0.05073019722606777
0.24,-0.0313902914698003
0.28,-0.000826551916419834
0.32,0.04207156919535281
0.36,0.09724938344114627
0.4,0.16361795403871643
0.44,0.2394188150227222
0.48,0.3226763685479335
0.52,0.4115877935860233
0.56,0.5047439205793666
0.6,0.6011485660660897
0.64,0.7000862106251234
0.68,0.8009489612129244
0.72,0.9031406591277351
0.76,1.0061134045159954
0.8,1.1094899880529694
0.84,1.21316150940321
0.88,1.3172792046144584
0.92,1.4221460139346371
0.96,1.528062281736874
1.0,1.635154308047467
1.04,1.7431737865674632
1.08,1.8512722058021511
1.12,1.9578223124222458
1.16,2.060409952030305
1.2,2.1560944025353925
1.24,2.241928767267947
1.28,2.315597261909983
1.32,2.3759456580514016
1.36,2.4232080846509403
1.4,2.458853533458589
1.44,2.4851271719021915
1.48,2.504474745043091
1.52,2.519057307033302
1.56,2.530481750624775
1.6,2.5397544987295175
1.64,2.5473901683793345
1.68,2.553591651679909
1.72,2.558431124079354
1.76,2.561982058977569
1.8,2.564384241035618
1.84,2.5658633347533266
1.88,2.5667428713460336
1.92,2.567454594797295
1.96,2.5685000258897057
2.0,2.5703008112456787
2.04,2.5729244449763558
2.08,2.575759052438243
2.12,2.577285260232824
2.16,2.5751039837035936
2.2,2.5662943912442158
2.24,2.548018917858639
2.28,2.5181541289019638
2.32,2.4757073000339
2.36,2.420891866613143
2.4,2.3548923283938796
2.44,2.2794509103182805
2.48,2.1964301375858564
2.52,2.1074821969236575
2.56,2.0139076600958443
2.6,1.9167092950331488
2.64,1.8167584654111344
2.68,1.714937014255736
2.72,1.6121387325959218
2.76,1.5091163635896663
2.8,1.4062817629185567
2.84,1.3036099425742267
2.88,1.2007214875758285
2.92,1.0970942534070252
2.96,0.9923024640444337
3.0,0.8862315613534413
3.04,0.7792760256445677
3.08,0.6725077038371647
3.12,0.5677436672288179
3.16,0.4674297607391668
3.2,0.37430698087126335
3.24,0.2909184527334277
3.28,0.21910694447709958
3.32,0.1596830019598221
3.36,0.11237226609000027
3.4,0.0760202807020098
3.44,0.04893422853991496
3.48,0.029227347966398438
3.52,0.01508554281650973
3.56,0.004938727923807685
3.6,-0.002452057364875783
3.64,-0.007984172354217965
3.68,-0.012271568965775465
3.72,-0.015738820922950772
3.76,-0.01869552323772048
3.8,-0.021356445446349147
3.84,-0.023830883719715763
3.88,-0.026139927472913074
3.92,-0.028283132853223404
3.96,-0.030299410789510282
