Time,Smoothed_Z_Position,Smoothed_Z_Speed,Smoothed_Z_Control
0.0,1.0047255189372728,-0.025757713649704472,20
0.04,1.0036952103912846,-0.01357348025883831,20
0.08,1.003152271180931,0.02885890857083906,20
0.12,1.0043066275237647,0.12096825429713798,20
0.16,1.0091453576956502,0.2616587378004076,20
0.2,1.0196117072076665,0.42400456768929007,20
0.24,1.036571889915238,0.5696269171092117,20
0.28,1.0593569665996065,0.6705456496744755,20
0.32,1.0861787925865856,0.721795873756359,20
0.36,1.11505062753684,0.7378072751228426,20
0.4,1.1445629185417536,0.738906953904156,20
0.44,1.1741191966979199,0.7394632491563302,20
0.48,1.203697726664173,0.7442245799160196,20
0.52,1.2334667098608139,0.7515081553570446,20
0.56,1.2635270360750956,0.7581839550697356,20
0.6,1.293854394277885,0.7627827989371783,20
0.64,1.3243657062353722,0.7659976098088828,20
0.68,1.3550056106277275,0.7695059903148782,20
0.72,1.3857858502403226,0.7743169704323483,20
0.76,1.4167585290576166,0.7797425897676069,20
0.8,1.4479482326483208,0.7838940801063843,20
0.84,1.4793039958525762,0.7857617271324113,20
0.88,1.5107344649378727,0.7873552718617838,20
0.92,1.542228675812344,0.7932791183372978,20
0.96,1.573959840545836,0.8061954204328425,20
1.0,1.6062076573631496,0.8201973095671833,0
1.04,1.639015549745837,0.8178290104692787,0
1.08,1.6717287101646081,0.7761863541191016,0
1.12,1.7027761643293722,0.6810746291692371,0
1.16,1.7300191494961417,0.5397627774537894,0
1.2,1.7516096605942932,0.3811900179842509,0
1.24,1.7668572613136633,0.2415112413455378,0
1.28,1.7765177109674848,0.14517279416532136,0
1.32,1.7823246227340976,0.09517716650246366,0
1.36,1.7861317093941962,0.07763571367106481,0
1.4,1.7892371379410388,0.07422771829559416,0
1.44,1.7922062466728625,0.07233572416611156,0
1.48,1.795099675639507,0.06763646408110557,0
1.52,1.7978051342027512,0.06096574355536899,0
1.56,1.800243763944966,0.05420154236152053,0
1.6,1.8024118256394268,0.048249908881531356,0
1.64,1.804341821994688,0.04317783050581392,0
1.68,1.8060689352149206,0.03889863075237643,0
1.72,1.8076248804450157,0.035188764928317795,0
1.76,1.8090324310421484,0.031210014282162524,0
1.8,1.810280831613435,0.025656186226052924,0
1.84,1.811307079062477,0.018187301081074025,0
1.88,1.81203457110572,0.011189109535258979,0
1.92,1.8124821354871303,0.009461019040585272,0
1.96,1.8128605762487537,0.015974225348058813,0
2.0,1.813499545262676,0.025194950493723223,-20
2.04,1.814507343282425,0.019670374963515203,-20
2.08,1.8152941582809656,-0.02413877959125399,-20
2.12,1.8143286070973155,-0.12141890302480585,-20
2.16,1.8094718509763232,-0.26569794877654984,-20
2.2,1.7988439330252612,-0.42829525649406563,-20
2.24,1.7817121227654986,-0.5727529994227765,-20
2.28,1.7588020027885876,-0.6739361513454889,-20
2.32,1.731844556734768,-0.7280886858692825,-20
2.36,1.7027210092999967,-0.7486524751678436,-20
2.4,1.672774910293283,-0.7539664813548563,-20
2.44,1.6426162510390887,-0.7569122520926674,-20
2.48,1.612339760955382,-0.7619583042735412,-20
2.52,1.5818614287844404,-0.7682168304332271,-20
2.56,1.5511327555671113,-0.7738857595900983,-20
2.6,1.5201773251835073,-0.7786216652201416,-20
2.64,1.4890324585747017,-0.7833162811961725,-20
2.68,1.4576998073268548,-0.7887050817032226,-20
2.72,1.4261516040587259,-0.7943511177298579,-20
2.76,1.3943775593495316,-0.7986774066772895,-20
2.8,1.36243046308244,-0.8000242382274148,-20
2.84,1.3304294935533434,-0.7983751641730541,-20
2.88,1.2984944869864212,-0.7967709607473339,-20
2.92,1.2666236485565279,-0.8004735170091481,-20
2.96,1.234604707876162,-0.8122605566620922,-20
3.0,1.2021142856096783,-0.8254825241050312,0
3.04,1.169094984645477,-0.8209756217471609,0
3.08,1.1362559597755906,-0.7740965578751147,0
3.12,1.105292097460586,-0.6706080175241047,0
3.16,1.0784677767596218,-0.5202620635213595,0
3.2,1.0576572942187674,-0.355698149996414,0
3.24,1.0434293682189109,-0.21547516497289476,0
3.28,1.034810361619995,-0.12363807483229405,0
3.32,1.0298648386267033,-0.0806116003380708,0
3.36,1.0266403746131805,-0.06965289408541464,0
3.4,1.0238542588497639,-0.07081848412010538,0
3.44,1.0210215194849597,-0.07135895150079952,0
3.48,1.0181671614249277,-0.06767658321130132,0
3.52,1.0154600980964756,-0.061492231302601175,0
3.56,1.0130004088443716,-0.055393552877852636,0
3.6,1.0107846667292575,-0.05066418081723367,0
3.64,1.0087580994965681,-0.047190494669313576,0
3.68,1.0068704797097956,-0.04414586022230549,0
3.72,1.0051046453009034,-0.04071214175373483,0
3.76,1.003476159630754,-0.03662764868093693,0
3.8,1.0020110536835165,-0.032340435962491254,0
3.84,1.0007174362450169,-0.028639199339167143,0
3.88,0.9995718682714502,-0.026088799969112286,0
3.92,0.9985283162726857,-0.024842406272310158,0
