Time,Smoothed_Z_Position
0.0,0.7024322065841686
0.04,0.7015761447510573
0.08,0.7014955265223642
0.12,0.7035734069462325
0.16,0.7097735239341567
0.2,0.7218150141255429
0.24,0.740239800362721
0.28,0.7641193651116693
0.32,0.7915951864369553
0.36,0.820798811912177
0.4,0.8505177634506111
0.44,0.8803079027403509
0.48,0.9101984546573747
0.52,0.9403260180138493
0.56,0.970732916179758
0.6,1.0013610517786642
0.64,1.0321404083863508
0.68,1.0630600038786608
0.72,1.094167676459733
0.76,1.1255087789452771
0.8,1.1570550107251916
0.84,1.1886879456919262
0.88,1.22027693116693
0.92,1.2518213250588592
0.96,1.2835383043795838
1.0,1.3157406586667133
1.04,1.3484486024271805
1.08,1.3809172413461352
1.12,1.411464520598836
1.16,1.4378988361219027
1.2,1.4584268154255402
1.24,1.4724947601646505
1.28,1.4810011579744833
1.32,1.4857668857183084
1.36,1.48866705692147
1.4,1.4909779546452717
1.44,1.4932230646665514
1.48,1.4954188661099415
1.52,1.497427610420485
1.56,1.4991829514571018
1.6,1.5007317364489692
1.64,1.502170397856994
1.68,1.5035755377880926
1.72,1.5049722441154552
1.76,1.5063305177095048
1.8,1.507572398590991
1.84,1.508595672373283
1.88,1.509335776924102
1.92,1.5098615123351662
1.96,1.5104291794361961
2.0,1.5113636830758619
2.04,1.5126974550281818
2.08,1.5137138909001084
2.12,1.5127615912618375
2.16,1.5076595398828543
2.2,1.4966077107576172
2.24,1.4790553568683995
2.28,1.4559267129990339
2.32,1.429068103182097
2.36,1.4003453403707935
2.4,1.370987383578915
2.44,1.3414676913087187
2.48,1.3117864408579323
2.52,1.281823655352563
2.56,1.2515348964767563
2.6,1.2209679771192312
2.64,1.1902005079873643
2.68,1.1592952636778329
2.72,1.1283116330375167
2.76,1.0973572137096828
2.8,1.0666287021225596
2.84,1.0363832802048965
2.88,1.0068197762713582
2.92,0.9779301667063418
2.96,0.9494572969350714
3.0,0.921088880292079
3.04,0.8928777743621847
3.08,0.8656463173066004
3.12,0.8409974069504026
3.16,0.8207369737718598
3.2,0.8059749899300549
3.24,0.7965170087070685
3.28,0.7909941086226104
3.32,0.7876087252590949
3.36,0.784935258785156
3.4,0.7822863083261505
3.44,0.7795787131525537
3.48,0.7769752850149193
3.52,0.774606722332585
3.56,0.7724913647082488
3.6,0.7705861503506837
3.64,0.7688476005068978
3.68,0.7672430906248897
3.72,0.7657367660671219
3.76,0.7642993881031366
3.8,0.7629480613977045
3.84,0.7617662344780647
3.88,0.7608484298198126
3.92,0.7601771493272519
3.96,0.7595374757330715
4.0,0.758626830232746
4.04,0.7574285771523086
4.08,0.7566801174194289
4.12,0.7580505488045508
4.16,0.7637141492740941
4.2,0.7754278495803766
4.24,0.7936732899832598
4.28,0.8174555991031982
4.32,0.8448763914720638
4.36,0.8740395537691334
4.4,0.9036986736440018
4.44,0.9333735108384736
4.48,0.9630811276048433
4.52,0.9929924759850461
4.56,1.0232180432240765
4.6,1.0537532922686543
4.64,1.0845255457093705
4.68,1.1154717707430968
4.72,1.1465867958451816
4.76,1.1779062948825678
4.8,1.2094401958564802
4.84,1.2411242007178471
4.88,1.2728592017281768
4.92,1.304637869182105
4.96,1.3366476166049237
5.0,1.369178773659719
5.04,1.4022591990386424
5.08,1.4351832052250146
5.12,1.4663177515078878
5.16,1.4934953987157862
5.2,1.5148970911672612
5.24,1.5298989281046227
5.28,1.539317847603764
5.32,1.5449168590067826
5.36,1.5485513215182694
5.4,1.5515120640214484
5.44,1.5543621708852149
5.48,1.557166601116246
5.52,1.5598153507620816
5.56,1.5622215451016461
5.6,1.5643674064593163
5.64,1.5662822125660516
5.68,1.5680212309688482
5.72,1.5696511407235318
5.76,1.5712192087921262
5.8,1.5727089883775063
5.84,1.574026408679505
5.88,1.575063982978926
5.92,1.5758322444033415
5.96,1.5765543271027274
6.0,1.5775687788421913
6.04,1.5789645582267786
6.08,1.5800968107093232
6.12,1.57935725719867
6.16,1.5745401384533917
6.2,1.5637499378298134
6.24,1.5463188335582585
6.28,1.5231057852243464
6.32,1.495985375629071
6.36,1.4669244366625365
6.4,1.4372651619433348
6.44,1.407555436581571
6.48,1.3778202536986188
6.52,1.3479363926048844
6.56,1.3178489616410036
6.6,1.2875835338996653
6.64,1.2571633266547952
6.68,1.2265618550926471
6.72,1.1957456842915377
6.76,1.1647672302512944
6.8,1.1338195775612878
6.84,1.1031889600561382
6.88,1.0731115678527063
6.92,1.0436152763312903
6.96,1.0144748321399961
7.0,0.9853991927569605
7.04,0.9564467994592436
7.08,0.9284374707733503
7.12,0.902981128599642
7.16,0.8819143564169558
7.2,0.8663996183336705
7.24,0.8562962025970724
7.28,0.8502617967409326
7.32,0.8464843365144279
7.36,0.8434978907928176
7.4,0.8405818513609802
7.44,0.8376474779979344
7.48,0.8348700465682957
7.52,0.8323827955272951
7.56,0.830176401742493
7.6,0.8281550344345163
7.64,0.8262288412108308
7.68,0.824365675239534
7.72,0.8225911186342715
7.76,0.8209555758960839
7.8,0.8194908592569612
7.84,0.8181818188684579
7.88,0.8169735295072467
7.92,0.8158072888616765
7.96,0.8146504460391913
