Time,Smoothed_Y_Speed,y_control
0.0,-0.0802782568406657,20
0.04,-0.07829769346024973,20
0.08,-0.07682148319704818,20
0.12,-0.07436539617350912,20
0.16,-0.06512637214922679,20
0.2,-0.046720909622877116,20
0.24,-0.02227286869641576,20
0.28,0.005446092751260068,20
0.32,0.03676232086807785,20
0.36,0.07159860417728092,20
0.4,0.10753134265660824,20
0.44,0.14281558295974328,20
0.48,0.17881079192953453,20
0.52,0.21725362879161936,20
0.56,0.2564230574315318,20
0.6,0.2928903154112983,20
0.64,0.3264592661435417,20
0.68,0.3598435947441636,20
0.72,0.3938471500859353,20
0.76,0.4269831939793467,20
0.8,0.4597468275075123,20
0.84,0.4949129934797569,20
0.88,0.5328221570479907,20
0.92,0.5698266586758649,20
0.96,0.6030819582301838,20
1.0,0.6345730039432285,0
1.04,0.667704429239252,0
1.08,0.7013201279720771,0
1.12,0.7305544941778985,0
1.16,0.7526206807953961,0
1.2,0.7682507966237428,0
1.24,0.778469182688496,0
1.28,0.7833954006420285,0
1.32,0.7836864009215627,0
1.36,0.7806439694935607,0
1.4,0.7754991411394074,0
1.44,0.7698194253382307,0
1.48,0.7647290676621066,0
1.52,0.7593886432716024,0
1.56,0.7534783193208106,0
1.6,0.7498800893197766,0
1.64,0.75012176353772,0
1.68,0.7501276686116776,0
1.72,0.7461772303028302,0
1.76,0.7411817650069707,0
1.8,0.7397269585257604,0
1.84,0.7410705360960446,0
1.88,0.7415907228981555,0
1.92,0.7405965791568381,0
1.96,0.7396663748767407,0
2.0,0.738490893872179,-20
2.04,0.7353120872157587,-20
2.08,0.730345854905376,-20
2.12,0.7243819161224352,-20
2.16,0.7144038846302297,-20
2.2,0.6954196333058632,-20
2.24,0.6666855473356104,-20
2.28,0.6322754427561,-20
2.32,0.5964849040745873,-20
2.36,0.5614999277090443,-20
2.4,0.5274628402299864,-20
2.44,0.4927898627699434,-20
2.48,0.45646551540259594,-20
2.52,0.4202716437496812,-20
2.56,0.3861533632975006,-20
2.6,0.3521824846235755,-20
2.64,0.31467746768546745,-20
2.68,0.2740439561118885,-20
2.72,0.23490117083161954,-20
2.76,0.19999574785947716,-20
2.8,0.16720224297457342,-20
2.84,0.133216722301574,-20
