Time,Smoothed_YAW_Position
0.0,0.15998115291726603
0.04,0.15841814676141913
0.08,0.15729584293321341
0.12,0.15792279710219514
0.16,0.16233225093381415
0.2,0.17309031301447836
0.24,0.19279524665315315
0.28,0.2234833680808343
0.32,0.2661966164277308
0.36,0.3208695976354941
0.4,0.38652824719426515
0.44,0.4616572241362824
0.48,0.5445583814037097
0.52,0.6335876111550243
0.56,0.7272594527405348
0.6,0.8242815252484669
0.64,0.9235919424417938
0.68,1.0244230033467532
0.72,1.1263450590344224
0.76,1.2292240710354594
0.8,1.3330787743761636
0.84,1.4378982920535952
0.88,1.543518333481199
0.92,1.6496315597760536
0.96,1.7559256725945547
1.0,1.8622280584694404
1.04,1.968474278096385
1.08,2.0744063652571905
1.12,2.179122384098812
1.16,2.280769715707322
1.2,2.3766430783922847
1.24,2.463724445704147
1.28,2.5394421648845826
1.32,2.6023053153799927
1.36,2.652161576058302
1.4,2.6900525745312427
1.44,2.7178285566536973
1.48,2.737721928589918
1.52,2.7519947625871195
1.56,2.762675461704208
1.6,2.77136234323807
1.64,2.779098071829212
1.68,2.7863516781584345
1.72,2.7931271641851674
1.76,2.7991574324973163
1.8,2.8041073400468175
1.84,2.8077347947889693
1.88,2.8100024704397804
1.92,2.8111466223084056
1.96,2.8116859021440597
2.0,2.812307797978645
2.04,2.8135569291114697
2.08,2.8153474109518606
2.12,2.8165129384261736
2.16,2.8147129448459953
2.2,2.8068616893109497
2.24,2.789918554189308
2.28,2.7616562706100733
2.32,2.7210828459820897
2.36,2.668429972769698
2.4,2.6048294564405166
2.44,2.531880183164419
2.48,2.4512779028536156
2.52,2.3645898353858756
2.56,2.2731591373018234
2.6,2.1780735390440826
2.64,2.080153232862244
2.68,1.9799712009191923
2.72,1.8779437112761947
2.76,1.7744823982588291
2.8,1.6701215609701938
2.84,1.5655090330557662
2.88,1.4612237374006778
2.92,1.3575161160669005
2.96,1.2541610126405855
3.0,1.1505913767392681
3.04,1.0463408614331866
3.08,0.9416330287796714
3.12,0.8378266489525114
3.16,0.7374494685756814
3.2,0.6437317127759843
3.24,0.5597985001524305
3.28,0.48785982917839466
3.32,0.4287363648332962
3.36,0.38187591277959626
3.4,0.34576697696821906
3.44,0.3184934200008834
3.48,0.2981775249309884
3.52,0.28319553648001483
3.56,0.2722093701938156
3.6,0.26413281743576644
3.64,0.25811499821207434
3.68,0.25354325197714095
3.72,0.25002457678080886
3.76,0.2473239237924653
3.8,0.2452804613934267
3.84,0.24373783421881634
3.88,0.2425014754829354
3.92,0.24131715737948367
3.96,0.23988703053451402
4.0,0.23797255240088552
4.04,0.23561427514452857
4.08,0.23341744386527777
4.12,0.23277036762221429
4.16,0.23584724739631135
4.2,0.24532234388937538
4.24,0.26385474607477816
4.28,0.2935195907103674
4.32,0.3353955652220958
4.36,0.389448850332967
4.4,0.45471484657665406
4.44,0.5296485906751114
4.48,0.6124717075494173
4.52,0.7014085215442833
4.56,0.7948161944549694
4.6,0.8912821512720723
4.64,0.9897397327759896
4.68,1.0895687056536487
4.72,1.190584783251971
4.76,1.2928611823403713
4.8,1.3964536079996375
4.84,1.5011962438147364
4.88,1.6066943278173176
4.92,1.7124952016310107
4.96,1.8182985269735144
5.0,1.9240351529525772
5.04,2.0296979267961524
5.08,2.134941212433913
5.12,2.2386451452489604
5.16,2.3387407159955633
5.2,2.4324868374349826
5.24,2.51711789788164
5.28,2.5905451470253085
5.32,2.6517844754721507
5.36,2.7009875763077216
5.4,2.739186070012728
5.44,2.7679454101034393
5.48,2.7890622536759717
5.52,2.8043418115360774
5.56,2.8154402675240333
5.6,2.823744057389155
5.64,2.830265450291617
5.68,2.8355723540213322
5.72,2.8398155200885755
5.76,2.84290063585882
5.8,2.8447645047903425
5.84,2.8456316353307156
5.88,2.846117140963236
5.92,2.8470974083922673
5.96,2.8493585506519605
6.0,2.8531384958941466
6.04,2.85777423735882
6.08,2.8616671182400824
6.12,2.862608309976528
6.16,2.8582571497377858
6.2,2.8464873947164935
6.24,2.8255074390745802
6.28,2.793894620965792
6.32,2.7507071280281545
6.36,2.6956797861583333
6.4,2.6293769229411312
6.44,2.553176406336307
6.48,2.4690497445087964
6.52,2.3791941323813943
6.56,2.2856189768391215
6.6,2.189799771027415
6.64,2.0925023144063526
6.68,1.9938413662428434
6.72,1.893556370161254
6.76,1.7913879484519386
6.8,1.6873818808413747
6.84,1.5819761128986345
6.88,1.4758386525321048
6.92,1.3695676655047477
6.96,1.2634516707702663
7.0,1.1574582905511905
7.04,1.051501626398265
7.08,0.9458989040583168
7.12,0.8418099170385295
7.16,0.741405620563563
7.2,0.6476016889411941
7.24,0.5634088558770216
7.28,0.49116015997994145
7.32,0.43193405063631746
7.36,0.3853798554312277
7.4,0.3499605639663769
7.44,0.32347049511183473
7.48,0.3036173296540259
7.52,0.288472928731934
7.56,0.2766785326347464
7.6,0.26741217151737
7.64,0.2602194580895524
7.68,0.25481409245096126
7.72,0.2509079349278224
7.76,0.24810665624598316
7.8,0.2459062441289279
7.84,0.24379570658454786
7.88,0.24140787568511443
7.92,0.23862677994516535
7.96,0.23559789785734825
