Time,Smoothed_YAW_Speed,yaw_control
0.0,-0.039075153896172415,100
0.04,-0.028057595705142935,100
0.08,0.01567385422454326,100
0.12,0.11023634579047509,100
0.16,0.26895155201660526,100
0.2,0.49262334096686966,100
0.24,0.7672030356920289,100
0.28,1.0678312086724122,100
0.32,1.366824530194083,100
0.36,1.641466238969276,100
0.4,1.8782244235504313,100
0.44,2.0725289316856825,100
0.48,2.2257307437828637,100
0.52,2.341796039637764,100
0.56,2.425551812698301,100
0.6,2.4827604298331725,100
0.64,2.520776522623985,100
0.68,2.5480513921917303,100
0.72,2.5719753000259247,100
0.76,2.5963675835176057,100
0.8,2.6204879419357896,100
0.84,2.6405010356900958,100
0.88,2.6528306573713634,100
0.92,2.657352820462527,100
0.96,2.657559646872143,100
1.0,2.6561554906736173,0
1.04,2.6483021790201344,0
1.08,2.617900471040535,0
1.12,2.5411832902127562,0
1.16,2.396834067124065,0
1.2,2.1770341827965556,0
1.24,1.892942979510892,0
1.28,1.5715787623852506,0
1.32,1.246406516957732,0
1.36,0.9472749618235188,0
1.4,0.6943995530613645,0
1.44,0.49733429840551624,0
1.48,0.3568208499300396,0
1.52,0.26701747792721164,0
1.56,0.21717203834654697,0
1.6,0.19339321477855886,0
1.64,0.1813401582305585,0
1.68,0.16938715066832088,0
1.72,0.15075670780372308,0
1.76,0.12374768873752995,0
1.8,0.09068636855379397,0
1.84,0.056691891270277406,0
1.88,0.028603796715631624,0
1.92,0.01348199589135124,0
1.96,0.015547395864634606,0
2.0,0.031228278320616365,-100
2.04,0.04476204600977196,-100
2.08,0.029138186857824433,-100
2.12,-0.04499983950445596,-100
2.16,-0.1962813883761405,-100
2.2,-0.42357837804104514,-100
2.24,-0.7065570894808637,-100
2.28,-1.0143356156995909,-100
2.32,-1.3163218303097968,-100
2.36,-1.5900129082295322,-100
2.4,-1.823731831902442,-100
2.44,-2.0150570077700825,-100
2.48,-2.1672016866934984,-100
2.52,-2.285767452101306,-100
2.56,-2.377139956443519,-100
2.6,-2.4480076545459695,-100
2.64,-2.5045507985762883,-100
2.68,-2.550687241074939,-100
2.72,-2.58653282543414,-100
2.76,-2.609020932215883,-100
2.8,-2.6153131978606914,-100
2.84,-2.6071323913772093,-100
2.88,-2.592690533344433,-100
2.92,-2.583877585657873,-100
2.96,-2.589240897532935,-100
3.0,-2.606262882652038,0
3.04,-2.617695816337881,0
3.08,-2.5951594956790003,0
3.12,-2.509429509420749,0
3.16,-2.3429438949924273,0
3.2,-2.098330315588845,0
3.24,-1.7984667743508957,0
3.28,-1.4780866086274616,0
3.32,-1.1715113013424983,0
3.36,-0.9027233952844299,0
3.4,-0.6818389241833922,0
3.44,-0.5078973767473738,0
3.48,-0.37454971127433984,0
3.52,-0.27465415715498126,0
3.56,-0.20191381895122845,0
3.6,-0.1504454805923025,0
3.64,-0.11429365587333484,0
