Time,Smoothed_X_Position
0.0,-2.354102321262821
0.04,-2.3557092897148584
0.08,-2.357385670290636
0.12,-2.3590475893203466
0.16,-2.3604919233262787
0.2,-2.361528852870963
0.24,-2.362006814956999
0.28,-2.361738659107602
0.32,-2.3604827906233488
0.36,-2.3580043575537415
0.4,-2.354124564751697
0.44,-2.3487440722735413
0.48,-2.3418735290432267
0.52,-2.333607304155204
0.56,-2.3239938947270833
0.6,-2.312949584034022
0.64,-2.30037018174165
0.68,-2.2863059710127134
0.72,-2.270927160528896
0.76,-2.2543072700818043
0.8,-2.236346028921453
0.84,-2.216949065903449
0.88,-2.196191861472061
0.92,-2.1742283217690694
0.96,-2.1510849298645582
1.0,-2.1266411524303908
1.04,-2.100820889397198
1.08,-2.0737147702671166
1.12,-2.045483560289975
1.16,-2.0162440400049313
1.2,-1.9861244990413567
1.24,-1.9553620903693825
1.28,-1.9242583126335602
1.32,-1.8930574560319706
1.36,-1.861922539844136
1.4,-1.8310054530783744
1.44,-1.800457880918385
1.48,-1.7703510785516718
1.52,-1.7406480872110413
1.56,-1.711293168415361
1.6,-1.6822958891754682
1.64,-1.653709017836355
1.68,-1.6255496778905385
1.72,-1.597751683789537
1.76,-1.5701930222722942
1.8,-1.5427944705627283
1.84,-1.5156029007551237
1.88,-1.4887435435718477
1.92,-1.4622622406093733
1.96,-1.436038885784291
2.0,-1.4098954225600795
2.04,-1.3837879266370525
2.08,-1.357867410693174
2.12,-1.3323513322275562
2.16,-1.3073644906273763
2.2,-1.2829480453427669
2.24,-1.2592436110903351
2.28,-1.2366024245587217
2.32,-1.2154080750838565
2.36,-1.195805118047716
2.4,-1.1777157687050106
2.44,-1.1611232904022335
2.48,-1.1462044171259942
2.52,-1.1331304245935476
2.56,-1.1218369317801213
2.6,-1.112085510456989
2.64,-1.1037356590820604
2.68,-1.0968844719347655
2.72,-1.0917216851609446
2.76,-1.0882994548911054
2.8,-1.0864780382846961
2.84,-1.0860725948747318
2.88,-1.087028455625408
2.92,-1.0894562394158234
2.96,-1.0934979230751851
3.0,-1.0991639098603274
3.04,-1.1063175918700405
3.08,-1.1148048865976412
3.12,-1.1245486544724133
3.16,-1.1354993623474936
3.2,-1.1475324912630331
3.24,-1.160421762119532
3.28,-1.1738892494704993
3.32,-1.187660885358645
3.36,-1.201506593393405
3.4,-1.2152812910545618
3.44,-1.2289444005834693
3.48,-1.242518759536228
3.52,-1.256014680805358
3.56,-1.2694038709366213
3.6,-1.2826674679714647
3.64,-1.295827994959172
3.68,-1.3089088100697646
3.72,-1.321904117612592
3.76,-1.3348112184663143
3.8,-1.347636940301202
3.84,-1.3603499912479333
3.88,-1.3728818981794548
3.92,-1.3851930546871876
3.96,-1.3973047581154832
4.0,-1.4092693837685866
4.04,-1.4211246120529475
4.08,-1.4328512843991676
4.12,-1.4443511405220009
4.16,-1.4554642213094153
4.2,-1.4660007275183877
4.24,-1.4757564523490148
4.28,-1.484524742760439
4.32,-1.492116852636473
4.36,-1.4983760546799652
4.4,-1.5031826233249692
4.44,-1.5064607310907794
4.48,-1.5081864795955349
4.52,-1.5083868185780291
4.56,-1.5071116398005502
4.6,-1.5043730136696114
4.64,-1.5001083474877723
4.68,-1.4942423205871211
4.72,-1.4868009246080451
4.76,-1.4779279015143132
4.8,-1.467760388691263
4.84,-1.4563023934244657
4.88,-1.4434347019078202
4.92,-1.429043062712115
4.96,-1.4131426006999461
5.0,-1.395891438298749
5.04,-1.3774721221497195
5.08,-1.3579471653941244
5.12,-1.337252502316081
5.16,-1.3153522921003622
5.2,-1.292387268948682
5.24,-1.268673637315413
5.28,-1.244590555316722
5.32,-1.2204602845499573
5.36,-1.1964655978831906
5.4,-1.1726362334627616
5.44,-1.1489311702035359
5.48,-1.1253481176963434
5.52,-1.1019476241224393
5.56,-1.0787880355162
5.6,-1.0558634681918893
5.64,-1.0331050573741305
5.68,-1.010437184329306
5.72,-0.9878481540689769
5.76,-0.9654219734101195
5.8,-0.943287526986111
5.84,-0.9215065754387053
5.88,-0.9000056398404569
5.92,-0.8786377241611896
5.96,-0.8573200043789657
6.0,-0.8361014164617266
6.04,-0.8150901837684527
6.08,-0.7943319544852465
6.12,-0.7737997224301393
6.16,-0.7535323448599945
6.2,-0.7337545924154767
6.24,-0.7148090642757743
6.28,-0.6969730985747775
6.32,-0.680385006107355
6.36,-0.6651388713475891
6.4,-0.6513779619124243
6.44,-0.6392527546156859
6.48,-0.6288147223293353
6.52,-0.6199848391067632
6.56,-0.6126283020509407
6.6,-0.6066629693491602
6.64,-0.6021159394519838
6.68,-0.5990898565124849
6.72,-0.5976671875898396
6.76,-0.5978329161233424
6.8,-0.5994890911641347
6.84,-0.6025475328224777
6.88,-0.6069991792337546
6.92,-0.6128922077848853
6.96,-0.620268258521983
7.0,-0.6291366573815764
7.04,-0.6394872328079274
7.08,-0.6512939143155193
7.12,-0.6644943471158232
7.16,-0.6789677825284607
7.2,-0.6945291520361523
7.24,-0.7109372834335661
7.28,-0.7279145150027303
7.32,-0.7451887940186885
7.36,-0.7625548480913396
7.4,-0.7799100131228253
7.44,-0.7972271314303201
7.48,-0.8144963653387829
7.52,-0.8316992021985602
7.56,-0.8488215936876653
7.6,-0.8658631447431405
7.64,-0.8828307006556565
7.68,-0.8997440587368599
7.72,-0.9166430602125202
7.76,-0.9335470638890782
7.8,-0.9503919278300917
7.84,-0.9670455058670897
7.88,-0.983415493457898
7.92,-0.9995363160665468
7.96,-1.015547196586985
