elapsed_time,x,y,z,pitch,roll,yaw,x_speed,y_speed,z_speed,pitch_speed,roll_speed,yaw_speed,control_x,control_y,control_z,control_yaw
0.00,-2.7917567314982845,-0.28682999109612134,0.9860085285413133,0.04452533382984055,-0.08295147174796917,3.12322668816978,-0.02624381428798088,0.020590296288567744,-0.01710975807701222,-0.0903007903229972,0.04016813158172881,-0.09856306145670858,20,0,0,0
0.04,-2.793251602814792,-0.285972777374961,0.9854424285592868,0.04443507189604364,-0.08342656777347898,3.1244776650666144,-0.0357267915822644,0.02048704501796396,-0.013529549901215899,-0.0021572220036360215,-0.011354593868726538,0.029897818209426046,20,0,0,0
0.08,-2.794505732989413,-0.28528706436704776,0.9850764475654284,0.04516417765085404,-0.08280082960326911,3.1231317134504835,-0.0313139020492209,0.01712130877495109,-0.009138041030722837,0.018204765862166176,0.01562381973332991,-0.03360655689768875,20,0,0,0
0.12,-2.7958888899087837,-0.28461781202601427,0.9845120851118149,0.04848496771275398,-0.08694313875184832,3.123589512134897,-0.03554440829300893,0.017198466875018376,-0.014503003379843988,0.08533776331701846,-0.10644918562094413,0.011764524420126175,20,0,0,0
0.16,-2.796830074550313,-0.2839675884240255,0.9842540913837654,0.044072741033408844,-0.10333505796950573,3.125140438244507,-0.02363699483087679,0.016329773395102217,-0.00647927744166689,-0.11080905341047849,-0.4116681177312577,0.038950096313040805,20,0,0,0
0.20,-2.797606260537413,-0.2830234799717665,0.9836167124521006,0.047357204062797205,-0.12415262679837458,3.126216025487497,-0.019442214839458825,0.023648403431175826,-0.015965320592646624,0.08227053426744853,-0.5214467309803635,0.026941736393517518,20,0,0,0
0.24,-2.79754712855246,-0.2824008747143276,0.9833040433088481,0.043818592012682074,-0.14052936655720605,3.124038843631116,0.0014722286127380314,0.015501209289207283,-0.00778462720949483,-0.08810199613119772,-0.40773711343329067,-0.05420601771859308,20,0,0,0
0.28,-2.7968081369319764,-0.2814182863636152,0.9830066713004194,0.0470273108501067,-0.15595318508295378,3.1265818417747044,0.018338720423158473,0.024383785357369164,-0.0073795452791175714,0.07962715143852672,-0.38275548458331293,0.06310671284926876,20,0,0,0
0.32,-2.794580466198191,-0.2795881912410439,0.9824300672187619,0.03908126985002081,-0.14357767721116937,3.1203468973873005,0.056380395415234805,0.04631810486764885,-0.014593344352397413,-0.20110733905869585,0.3132132665270168,-0.1578009822647777,20,0,0,0
0.36,-2.791508804940449,-0.27948727139463597,0.9827936084887036,0.043854510034439416,-0.1690724182785437,3.1248162781928603,0.07680991760661646,0.002523600240074214,0.009090707811755248,0.1193595759811347,-0.6375211315542196,0.11176127268668308,20,0,0,0
