elapsed_time,x,y,z,pitch,roll,yaw,x_speed,y_speed,z_speed,pitch_speed,roll_speed,yaw_speed,control_x,control_y,control_z,control_yaw
0.00,-0.2957704416932148,-0.47475968874537694,0.7024779634006615,0.007098036420908168,-0.08650505618764308,3.129206979612903,0.007032875607579257,-0.0416487569317252,0.0021290829706307355,-0.021340372248820516,0.07880423228124521,-0.031960711934909555,0,0,20,0
0.04,-0.295648385621717,-0.4765021373718401,0.7024107924523871,0.008860582700370883,-0.08792558372304146,3.1290798836527975,0.002977020009463976,-0.04249935593361963,-0.0016383392863094182,0.04298954961582416,-0.0346475095010094,-0.0030999458831783067,0,0,20,0
0.08,-0.29552700937230114,-0.47811148375290596,0.7024942887777383,0.0076606287056464285,-0.0895959099866099,3.1294356616636896,0.002949854783724956,-0.03911257880931301,0.0020292440732517917,-0.0291629544381407,-0.040594596905743865,0.00864661309296226,0,0,20,0
0.12,-0.29551158826946594,-0.4797339753482888,0.7036274680452946,0.009050207878386821,-0.09123852285895281,3.1292395220549465,0.000398634215721402,-0.041941271746380425,0.02929258908532465,0.035920505143364305,-0.04246140506926923,-0.005070192445947149,0,0,20,0
0.16,-0.2949537489311444,-0.4813431204017928,0.708944151868508,0.009450312811240985,-0.08949359766724527,3.1264212793387647,0.013896712349090953,-0.04008649874673697,0.13244749996400215,0.009967284089459042,0.04346900943343845,-0.07020714687232188,0,0,20,0
0.20,-0.294348633296841,-0.4832798204925597,0.720903733526988,0.011039165565054743,-0.09441935756868669,3.1255281975479217,0.014960088918747517,-0.04788044453714031,0.2956730827949194,0.03928072111905443,-0.12177805685486559,-0.022079388211654557,0,0,20,0
0.24,-0.29378821428084584,-0.48525266530584044,0.7401874517271467,0.01226141532374402,-0.09775886227297519,3.1266479051042033,0.013862258474367877,-0.04879935182597161,0.4769928899767557,0.030232989230561984,-0.08260440146736996,0.027696554038795396,0,0,20,0
0.28,-0.29275174313855057,-0.48728620585317567,0.7648915006589369,0.0098056120037644,-0.0948160603743794,3.128073811241192,0.02614257571374049,-0.05129133417834012,0.623102219908492,-0.06194193124224283,0.07422533856004183,0.03596516837349353,0,0,20,0
0.32,-0.2917387408213294,-0.48933717271972327,0.7920446327020366,0.008294669811091324,-0.09231146080317643,3.1306889547567494,0.024969233447518318,-0.0505537545308208,0.6692905645816161,-0.03724282530572132,0.06173523033735243,0.0644599995761466,0,0,20,0
0.36,-0.29065437153052287,-0.4913046715348421,0.8207101825336816,0.005442567660278004,-0.09053681351761374,3.131090883874299,0.02753215565790095,-0.049954830050837604,0.7278188221257766,-0.07241492454108726,0.04505832627152594,0.01020498747210877,0,0,20,0
0.40,-0.2896150630364269,-0.4930740835514231,0.8503425482803812,0.006941847224458564,-0.08952174277269656,3.1328911958148997,0.02589306857626896,-0.04408268280811107,0.7382532546544791,0.037352671310643584,0.02528921543238964,0.04485251568851942,0,0,20,0
0.44,-0.2881333947408141,-0.49472674057471344,0.8800842852693704,0.006237783398895343,-0.08335230492985451,3.1303379345730185,0.03731374705919558,-0.041619859401225257,0.7490041154246816,-0.01773086430909293,0.1553686772180185,-0.06430031906446489,0,0,20,0
0.48,-0.28667083901113083,-0.49653988331161636,0.9101438116907744,0.0055138277009296926,-0.08214480099637801,3.1264364006601113,0.03534192153868138,-0.04381367974260313,0.7263732948523121,-0.017494024299863,0.029178723523798234,-0.09427859918905657,0,0,20,0
0.52,-0.28555838106921066,-0.4983067269018336,0.9403697178761713,0.006444908471295557,-0.08213519601738892,3.1239278657031435,0.029068308822857946,-0.046167278048707766,0.7897970272308085,0.024328958742749277,0.0002509762256810768,-0.06554752865192581,0,0,20,0
0.56,-0.2843607494646286,-0.5001400841731707,0.9708526059367265,0.007539445821721212,-0.08284741728112503,3.1214064886316724,0.02949861721461445,-0.04515704508622667,0.7508177331442739,0.026959323888727425,-0.017542575154729623,-0.06210351897901628,0,0,20,0
0.60,-0.2832532619416501,-0.5020488389926033,1.0013465604451421,0.007748532776773264,-0.08252830549072046,3.1208652671550015,0.02808818244120181,-0.048409984303534485,0.7733899839183546,0.005302879190713572,0.008093337398435442,-0.013726500084574553,0,0,20,0
0.64,-0.2823003085164395,-0.5041070528957629,1.032147895435351,0.008888166211464304,-0.08519031526510074,3.12158754634396,0.023355419127217475,-0.05044364928027018,0.7548932291367301,0.027930658324373858,-0.06524175511270085,0.01770194926501199,0,0,20,0
0.68,-0.28104972369444514,-0.5060832578020912,1.0630969676385689,0.007046626475292967,-0.08411798133445934,3.122780528123965,0.03085526253973714,-0.048758245058368496,0.7635961442972619,-0.04543569619396925,0.02645733770176657,0.029434041881679807,0,0,20,0
0.72,-0.2800814472066262,-0.5083159078935875,1.0941630783969056,0.009314117465514755,-0.08632257844669942,3.1251803128618256,0.025089243018959054,-0.057850729028883024,0.80496140541993,0.058753499865642045,-0.057123841592474425,0.06218139471401658,0,0,20,0
0.76,-0.2790651979823269,-0.5104436096400662,1.1254742137854246,0.008732627582496495,-0.08684284302612796,3.1278222149185413,0.024935405326287352,-0.05220678569125174,0.7682720276389756,-0.014267844520317192,-0.01276557743392676,0.0648235659534967,0,0,20,0
0.80,-0.2784077486284317,-0.5125737111359965,1.156963869233091,0.011733855849621834,-0.0894613571430665,3.130427189081256,0.016745158430381393,-0.054253436878170046,0.8020378547263385,0.07644093422710445,-0.06669324941996603,0.06634838836371323,0,0,20,0
0.84,-0.27744220741573067,-0.5146370987805656,1.1886376984264826,0.011848478622619596,-0.09260714607716228,3.132493073376875,0.023947993699828,-0.051177509217045745,0.7855953241507391,0.0028429500569201872,-0.0780239440675648,0.051239432812667046,0,0,20,0
0.88,-0.2763714271077812,-0.5165662073196391,1.2202226862275651,0.012080298417414374,-0.09010987152253855,3.133777955461359,0.026961412243836455,-0.048573447045047916,0.7952853358428587,0.00583704146157906,0.06287942377478735,0.03235232783729156,0,0,20,0
0.92,-0.27536096839713897,-0.5185302910434323,1.252008109271944,0.012957808797070215,-0.09048950254128532,3.133588025166095,0.0248105971272937,-0.04822571123597627,0.7804527957144042,0.021546210919219613,-0.009321382619547165,-0.004663509739128156,0,0,20,0
0.96,-0.2741710479970763,-0.5204536505176267,1.283882794125037,0.014859194881575251,-0.08544051380585804,3.131798425255134,0.030054545580626504,-0.04857946378771385,0.8050783638426104,0.04802446847714883,0.12752538915794545,-0.045201016885019055,0,0,20,0
1.00,-0.27319861542529095,-0.5222591671490572,1.3159684420794489,0.01543109451184441,-0.08573381095356579,3.1290931384443588,0.024075353282036447,-0.04470073506327937,0.7943721057875212,0.01415901322116044,-0.0072614108705895825,-0.06697712272129129,0,0,0,0
1.04,-0.2718942796495806,-0.5243704159924956,1.3479045978346034,0.016768863196858986,-0.08563121201325465,3.124226293561099,0.03323783080534115,-0.05380005145374398,0.8138154003977497,0.03408978733637945,0.0026144849220376787,-0.12401972697369501,0,0,0,0
1.08,-0.2709606128524113,-0.5258301737940393,1.3802104932012806,0.014620231383362011,-0.08562124245858561,3.1223516924441053,0.023066986994370486,-0.036064487165259215,0.7981430533076277,-0.0530836720850422,0.00024630584335593716,-0.04631352396425718,0,0,0,0
1.12,-0.2697731088978946,-0.5278139716000986,1.4113858927581842,0.014861716711710925,-0.08444856658520634,3.1224326368103132,0.02888095992325845,-0.04824740558945181,0.7582083931340886,0.005873098833543019,0.028520330204560903,0.0019686258623177566,0,0,0,0
1.16,-0.26871445055645765,-0.5296788073407674,1.4385339457585868,0.014737092756081597,-0.0812044098635024,3.1237606908198225,0.027640838849395295,-0.048689574502816156,0.7088169324207625,-0.0032538454943347637,0.08470269362360089,0.03467457386706579,0,0,0,0
1.20,-0.26734015696032715,-0.5314207687487256,1.4591847796590625,0.013203179767743281,-0.07357639096951733,3.1253500401656162,0.0339180624756513,-0.04299223690749595,0.5096700416728971,-0.03785752674476655,0.18826226225612488,0.039225716075552995,0,0,0,0
1.24,-0.2661717622357685,-0.5331568824414942,1.4724881978986892,0.014061919624408155,-0.07007137276077344,3.1269490546889225,0.02861398448492552,-0.04251742088934246,0.3258006862783012,0.021030537384938666,0.08583788897391985,0.03915986250138067,0,0,0,0
1.28,-0.2651295496485503,-0.5346640970571505,1.4804839343451413,0.014662151633465887,-0.07182270186972431,3.1266620366555498,0.02659881969174212,-0.03846636501062168,0.20406311979932024,0.015318816120569569,-0.04469653097763884,-0.007325128300682339,0,0,0,0
1.32,-0.2640960638159073,-0.5362367446122179,1.4853408028744846,0.017013982203916374,-0.07540832556549398,3.1266397674959263,0.02573944243952467,-0.03916751438943126,0.1209625560397529,0.05857342760162911,-0.08930161576674363,-0.000554623715390822,0,0,0,0
1.36,-0.2632995484367045,-0.5377890728086437,1.4887049984547351,0.01951867843557248,-0.08123467114709666,3.1256472347533233,0.01994440615049955,-0.03886963746936885,0.08423802574834094,0.06271652780612229,-0.14588921405253777,-0.02485259751789978,0,0,0,0
1.40,-0.2618238296222249,-0.5398148501476914,1.4910519616623348,0.022793955638352015,-0.08353091108043968,3.124087838339419,0.03678534987755528,-0.05049669859848469,0.05850292202972726,0.0816430722899688,-0.05723853929491546,-0.03887118746500531,0,0,0,0
1.44,-0.2611047885331763,-0.5412047425102406,1.4934856331365778,0.02416824975084739,-0.09051602372068179,3.1247844206993083,0.01813843096145309,-0.03506123230775162,0.061391459668631326,0.034667753011462105,-0.17620548437732633,0.017571890169079448,0,0,0,0
1.48,-0.25990606913390324,-0.5430538403401721,1.4954500882913715,0.024631840198539968,-0.09391983882391908,3.1243801106476474,0.02903000451085581,-0.04478055362787711,0.04757422132287029,0.011227008419039845,-0.08243194183811445,-0.009791384564741972,0,0,0,0
1.52,-0.2585315009093823,-0.5451067872642014,1.497480344291792,0.024814792140918418,-0.09177398039109173,3.1236904064475697,0.03566766477800189,-0.053270417129586835,0.05268162696090838,0.004747286045778628,0.05568130986718382,-0.017896629476450206,0,0,0,0
1.56,-0.2569058896200884,-0.5466928733003775,1.4989796837340967,0.02500746010331617,-0.09224659445393187,3.1269431950470015,0.039291810828851116,-0.03833646635093535,0.036239759235959554,0.004656877804164941,-0.011423310402965582,0.078621473138657,0,0,0,0
