elapsed_time,x,y,z,pitch,roll,yaw,x_speed,y_speed,z_speed,pitch_speed,roll_speed,yaw_speed,control_x,control_y,control_z,control_yaw
0.00,-2.354106610273739,-0.19612318817098331,0.9839662040160065,-0.08438156113949975,-0.08392673810179005,3.1287091201115684,-0.041056288239897216,0.08016011484975874,-0.004128689232316944,-0.09332878879716193,0.013471515935742969,-0.0033031441389309193,20,0,0,0
0.04,-2.355481422063343,-0.19301167268552888,0.9838661781752954,-0.07915589247975942,-0.08343022352122234,3.1277846227790302,-0.0325469664244375,0.07366127552874614,-0.0023679878975565653,0.12371123356657424,0.011754367765229421,-0.02188632936459269,20,0,0,0
0.08,-2.3574305134580644,-0.19027658582715534,0.9836547784633386,-0.08534944550234078,-0.07997652335930483,3.1306247809767482,-0.0511835127080674,0.07182390387252495,-0.0055513968573911434,-0.16264388663247212,0.09069482662850385,0.07458309733423506,20,0,0,0
0.12,-2.359172944178417,-0.18779223953555244,0.983727500004908,-0.08356318259516002,-0.086624449248012,3.12905301170003,-0.04179386463898995,0.05958941805538695,0.0017442956148510348,0.04284522149452367,-0.15945685040864704,-0.03770038695231068,20,0,0,0
0.16,-2.360462274436327,-0.18458376867250828,0.9835657037785415,-0.0847657209006385,-0.10260359295271165,3.1281404479377035,-0.03506872618022459,0.08726777756359667,-0.004400724736453395,-0.03270805621548701,-0.4346196110241205,-0.024820986327349644,20,0,0,0
0.20,-2.361548235889377,-0.18190331887490627,0.9830189213850393,-0.07831453861767745,-0.1187307304151153,3.125181346929453,-0.02626001698667512,0.06481690212785853,-0.013221937943613295,0.15599831454323176,-0.38997600008711025,-0.0715550653512703,20,0,0,0
0.24,-2.3618241965165643,-0.1787831343257669,0.9827355051568962,-0.08140035080214822,-0.14376397743131875,3.130043529932579,-0.006676103466808891,0.07548422794186821,-0.006856471093505955,-0.07465268372751663,-0.60561011508675,0.11762705837520089,20,0,0,0
0.28,-2.3619280917033842,-0.1764214093091429,0.9826006501081812,-0.08332841160565851,-0.15812160986471688,3.1299468553212537,-0.002675491469846279,0.060818747523398844,-0.0034727646539386807,-0.04965109925713401,-0.3697353484652647,-0.0024895484176688607,20,0,0,0
0.32,-2.3604810942658103,-0.17385613401636357,0.9822873446987921,-0.07827014365024919,-0.16391015441129292,3.1278427754985016,0.03516083644962414,0.06233405994754409,-0.007613061345003633,0.12291171199080683,-0.1406568268875221,-0.0511273929059463,20,0,0,0
0.36,-2.357945174018128,-0.17140964742078624,0.9823205985769563,-0.08349639559298518,-0.1738678986168207,3.130106867137532,0.06413045315536074,0.0618687808326283,0.0008409516339456871,-0.1321657909778683,-0.25181968908102204,0.05725622599093066,20,0,0,0
0.40,-2.3540110344641145,-0.16893956754722447,0.9822901899309688,-0.08386505221846037,-0.17788850129453196,3.13093493736298,0.09605374772515331,0.060308086629525776,-0.0007424404676656766,-0.009000913672337052,-0.09816478292285914,0.020217698798393656,20,0,0,0
0.44,-2.3489429183867574,-0.16680956737016178,0.9826813407936461,-0.0816321654168807,-0.17824874700202203,3.1269827435122246,0.1280686548364792,0.05382399560590393,0.009884178668482454,0.05642388704513597,-0.009103221485986239,-0.0998698811143237,20,0,0,0
