time_stamp,ref_moving_speed,ref_x,ref_y,ref_z,drone_x,drone_y,drone_z
0.02,0.7000000000000001,0.0,0.0,1.0126,-0.00011573827167278705,-0.018068881547165017,1.0087845445918584
0.05,0.7000000000000001,0.0,0.0,1.0252,-2.7344065419902196e-05,-0.018592794211931718,1.0085204471839453
0.08,0.7000000000000001,0.0,0.0,1.0377999999999998,-4.020570966975257e-05,-0.018941848563434727,1.0083641097736242
0.08,0.7000000000000001,0.0,0.0,1.0377999999999998,-4.020570966975257e-05,-0.018941848563434727,1.0083641097736242
0.12,0.7000000000000001,0.0,0.0,1.0545999999999998,-0.00015597054992217975,-0.01950876870262075,1.0097087986485742
0.14,0.7000000000000001,0.0,0.0,1.0629999999999997,-0.00030840854461122903,-0.019638813207777384,1.0105083769902437
0.18,0.7000000000000001,0.0,0.0,1.0797999999999996,-0.0005589798689854427,-0.019672781442348297,1.0116854678388647
0.20,0.7000000000000001,0.0,0.0,1.0881999999999996,-0.0009634124967111546,-0.019576967847369398,1.0136124893878382
0.22,0.7000000000000001,0.0,0.0,1.0965999999999996,-0.0011142816711076202,-0.019240430145298193,1.0150053565803094
0.25,0.7000000000000001,0.0,0.0,1.1091999999999995,-0.0013732149066747218,-0.019360817948506304,1.0165661824866385
0.28,0.7000000000000001,0.0,0.0,1.1217999999999995,-0.0018002893739931221,-0.018903900329871437,1.0185421319039534
0.31,0.7000000000000001,0.0,0.0,1.1343999999999994,-0.002039237134239363,-0.018490164326558478,1.0213785380675457
0.35,0.7000000000000001,0.0,0.0,1.1511999999999993,-0.002141267249159055,-0.01796117317195778,1.0251126960283452
0.38,0.7000000000000001,0.0,0.0,1.1637999999999993,-0.002289313405795006,-0.01713146257025855,1.0292939841974431
0.41,0.7000000000000001,0.0,0.0,1.1763999999999992,-0.00250911493270545,-0.016688869431358944,1.0336978201225822
0.45,0.7000000000000001,0.0,0.0,1.1931999999999992,-0.0025440187771841338,-0.01591382421995924,1.0380877772977584
0.47,0.7000000000000001,0.0,0.0,1.2015999999999991,-0.0024146407192707988,-0.015150733042825104,1.0430453643069768
0.50,0.7000000000000001,0.0,0.0,1.214199999999999,-0.0023825835320237143,-0.014456547349157578,1.0485524329041613
0.54,0.7000000000000001,0.0,0.0,1.230999999999999,-0.002286322506003172,-0.013574775565393216,1.0541587512819277
0.56,0.7000000000000001,0.0,0.0,1.239399999999999,-0.0020535648722037054,-0.012760676991336206,1.0601103107538183
0.60,0.7000000000000001,0.0,0.0,1.2561999999999989,-0.001844484765795821,-0.01201825260223921,1.066361933564471
0.63,0.7000000000000001,0.0,0.0,1.2687999999999988,-0.0016979660384823872,-0.01109494064831451,1.0731259048060298
0.66,0.7000000000000001,0.0,0.0,1.2813999999999988,-0.001396490521163376,-0.010109017520648633,1.0823356068467895
0.70,0.7000000000000001,0.0,0.0,1.2981999999999987,-0.0012766622167927543,-0.009271032079879893,1.0898435257190866
0.73,0.7000000000000001,0.0,0.0,1.3107999999999986,-0.0012113746045455205,-0.00816197711449207,1.097437622937346
0.76,0.7000000000000001,0.0,0.0,1.3233999999999986,-0.001094943244905167,-0.007487236723845658,1.1052829118557665
0.80,0.7000000000000001,0.0,0.0,1.3401999999999985,-0.0010893184537588221,-0.006688060694196363,1.1130806785605714
0.83,0.7000000000000001,0.0,0.0,1.3527999999999984,-0.0012254284384855443,-0.006210668553505494,1.119070269111699
0.87,0.7000000000000001,0.0,0.0,1.3695999999999984,-0.001463854091851895,-0.005421236998378598,1.1289411205422069
0.90,0.7000000000000001,0.0,0.0,1.3821999999999983,-0.0017602313062101587,-0.004955830969926467,1.1348574743398518
0.94,0.7000000000000001,0.0,0.0,1.3989999999999982,-0.0021861810022890324,-0.004384743922369871,1.1448099857000686
0.98,0.7000000000000001,0.0,0.0,1.4157999999999982,-0.002748578702782686,-0.0037810137851534975,1.154677989384438
0.99,0.7000000000000001,0.0,0.0,1.4199999999999982,-0.0031231051960306806,-0.003669990420409386,1.1606383034338126
1.03,0.7000000000000001,0.0,0.0,1.436799999999998,-0.003350085183449421,-0.003621513981409308,1.172770675287221
1.05,0.7000000000000001,0.0,0.0,1.445199999999998,-0.00369960459292548,-0.0035239676163345557,1.1809031558781384
