time_stamp,ref_moving_speed,ref_x,ref_y,ref_z,drone_x,drone_y,drone_z
0.02,0.4,0.0,0.012,1.0,0.001945130841992758,0.004182090469101674,0.9940790081127198
0.06,0.4,0.0,0.028,1.0,0.0021109855936186713,0.004283595360925263,0.9939803284786078
0.09,0.4,0.0,0.04000000000000001,1.0,0.002417021157443522,0.004397831722064871,0.9939045889370389
0.11,0.4,0.0,0.048000000000000015,1.0,0.0026476035382595607,0.00465976713981453,0.9938621170106261
0.14,0.4,0.0,0.060000000000000026,1.0,0.003077721847307129,0.005337612238361489,0.9935450716232002
0.18,0.4,0.0,0.07600000000000004,1.0,0.003352648077302262,0.0058523003543710095,0.9933110322443488
0.21,0.4,0.0,0.08800000000000005,1.0,0.003713206104431135,0.0067321188982146785,0.9929917695406114
0.23,0.4,0.0,0.09600000000000006,1.0,0.003946396025948236,0.007368505891791832,0.9928061503458667
0.27,0.4,0.0,0.11200000000000007,1.0,0.004156142519672038,0.008388537222127734,0.99247229850006
0.29,0.4,0.0,0.12000000000000008,1.0,0.004285753004275152,0.010051632492538043,0.9921832882327019
0.33,0.4,0.0,0.1360000000000001,1.0,0.004258663037913132,0.011401553196898506,0.992013667769086
0.35,0.4,0.0,0.1440000000000001,1.0,0.004186158416698934,0.013003371431359878,0.9917084740923116
0.38,0.4,0.0,0.1560000000000001,1.0,0.004050454782533436,0.014153323674047424,0.9915593617156562
0.41,0.4,0.0,0.16800000000000012,1.0,0.003563597492875199,0.016716561380340944,0.9912971965318267
0.44,0.4,0.0,0.18000000000000013,1.0,0.003249419606552085,0.01887954101746081,0.99118962001238
0.48,0.4,0.0,0.19600000000000015,1.0,0.002719148722662373,0.021201895813445004,0.9910553879438949
0.49,0.4,0.0,0.20000000000000015,1.0,0.0023836880106374563,0.02325782459595227,0.9908939496033283
0.54,0.4,0.0,0.22000000000000017,1.0,0.001067583574518467,0.031014088618463442,0.9901782695562498
0.56,0.4,0.0,0.22800000000000017,1.0,0.000699491781593439,0.03441392030322721,0.9900040006627259
0.59,0.4,0.0,0.24000000000000019,1.0,0.0002810436038599489,0.03854806367123498,0.9895873465930112
0.63,0.4,0.0,0.25600000000000017,1.0,6.578638523710235e-05,0.04347375285077337,0.9892245171302751
0.66,0.4,0.0,0.2680000000000002,1.0,-1.6507677331480508e-05,0.047862543254447276,0.9888804235863135
0.69,0.4,0.0,0.2800000000000002,1.0,1.8589997936642177e-06,0.05129120569278256,0.9888511610781071
0.73,0.4,0.0,0.2960000000000002,1.0,0.00019606976229929042,0.0572040716211345,0.9893267515421003
0.76,0.4,0.0,0.3080000000000002,1.0,0.00039066845296484407,0.06262454803693152,0.9896689673803485
0.78,0.4,0.0,0.3160000000000002,1.0,0.0008015833761692988,0.06757812858027934,0.9900466565403008
0.81,0.4,0.0,0.32800000000000024,1.0,0.0012657539926676628,0.07450117725484118,0.9902358714483442
0.83,0.4,0.0,0.33600000000000024,1.0,0.001602523085598101,0.08049792833468927,0.9903893621224906
0.86,0.4,0.0,0.34800000000000025,1.0,0.0021602552118320773,0.08790877419591248,0.9907812663178991
0.89,0.4,0.0,0.36000000000000026,1.0,0.0025484736375676205,0.09591012228872509,0.9912163008080647
0.91,0.4,0.0,0.36800000000000027,1.0,0.0027485210880692566,0.10092272684634407,0.991429441817678
0.93,0.4,0.0,0.3760000000000003,1.0,0.0030502201375005424,0.10977772564679067,0.9916384079803989
0.96,0.4,0.0,0.3880000000000003,1.0,0.0032153993753680733,0.11684588356433223,0.9919154866203963
0.98,0.4,0.0,0.3960000000000003,1.0,0.0033174953244241314,0.12617884383893452,0.9924043445914541
1.02,0.4,0.0,0.4120000000000003,1.0,0.0033496147016287303,0.13212937718490858,0.9924575048053386
1.05,0.4,0.0,0.4240000000000003,1.0,0.0032551978964072345,0.14214555676387897,0.992853783693818
1.08,0.4,0.0,0.43600000000000033,1.0,0.0032441595931552076,0.1503266210075661,0.9933102404756969
1.11,0.4,0.0,0.44800000000000034,1.0,0.0031416598598861824,0.1586914674938229,0.9937381903971703
1.14,0.4,0.0,0.46000000000000035,1.0,0.0030814706774666186,0.1673277407106034,0.99399432191211
1.18,0.4,0.0,0.47600000000000037,1.0,0.0028893438766072936,0.17621793110970219,0.9941334986007269
1.22,0.4,0.0,0.4920000000000004,1.0,0.002960215165309724,0.18481773146453728,0.9948164201560394
1.26,0.4,0.0,0.5080000000000003,1.0,0.002724266057704861,0.19450104712175098,0.9946225075697934
1.29,0.4,0.0,0.5200000000000004,1.0,0.002755151579118349,0.20148416555152682,0.9946112696706935
1.32,0.4,0.0,0.5320000000000004,1.0,0.0025617715517556486,0.21131815272041565,0.9945173521677992
1.35,0.4,0.0,0.5440000000000004,1.0,0.002676741460849024,0.22615054797947376,0.9945948007450197
1.37,0.4,0.0,0.5520000000000004,1.0,0.002738092830013086,0.23354204732787887,0.995000909875887
1.42,0.4,0.0,0.5720000000000004,1.0,0.002798604253292942,0.24630733473989652,0.9953050544597601
1.44,0.4,0.0,0.5800000000000004,1.0,0.0030294328480376127,0.2593854224548525,0.9955825685541547
1.46,0.4,0.0,0.5880000000000004,1.0,0.0030143268179997937,0.27012120338299994,0.9955906250429134
