time_stamp,ref_moving_speed,ref_x,ref_y,ref_z,drone_x,drone_y,drone_z
0.00,0.7000000000000001,0.007000000000000001,0.0,1.0,-0.0026506234544565466,0.002095569429848919,0.9921729522232894
0.03,0.7000000000000001,0.028000000000000004,0.0,1.0,-0.002702851296441544,0.002041237139940132,0.9926983824528522
0.05,0.7000000000000001,0.042,0.0,1.0,-0.0028020767220411358,0.0018970114074567598,0.9933275609850115
0.08,0.7000000000000001,0.063,0.0,1.0,-0.002630794035244355,0.001925984179652945,0.993656259316967
0.11,0.7000000000000001,0.08400000000000002,0.0,1.0,-0.002424297840218692,0.0019934748589093792,0.9940290657808528
0.13,0.7000000000000001,0.09800000000000003,0.0,1.0,-0.0019186896400138487,0.00210004073563244,0.9941495824302631
0.15,0.7000000000000001,0.11200000000000004,0.0,1.0,-0.001552054542182324,0.002318796548031158,0.994477088689173
0.17,0.7000000000000001,0.12600000000000006,0.0,1.0,-0.0011469527002299085,0.0028250501707113196,0.9945213250652036
0.21,0.7000000000000001,0.15400000000000008,0.0,1.0,-0.00015672688707701887,0.0028735551456246745,0.9950240632537737
0.22,0.7000000000000001,0.1610000000000001,0.0,1.0,0.0005118462084483522,0.00286007393216426,0.9952301117802174
0.26,0.7000000000000001,0.1890000000000001,0.0,1.0,0.001512434405177343,0.003530725235769533,0.9955810727100346
0.30,0.7000000000000001,0.21700000000000014,0.0,1.0,0.002704844161932729,0.003556285123892084,0.9957073412558496
0.33,0.7000000000000001,0.23800000000000016,0.0,1.0,0.004719976930876668,0.0035993281160740923,0.9961495521679269
0.37,0.7000000000000001,0.2660000000000002,0.0,1.0,0.006306070541273412,0.003889901150657687,0.996105780006399
0.41,0.7000000000000001,0.2940000000000002,0.0,1.0,0.008565197457381046,0.0037713124689764317,0.996464612810432
0.46,0.7000000000000001,0.32900000000000024,0.0,1.0,0.011685859152993472,0.0037785611264695815,0.9964321710271398
0.50,0.7000000000000001,0.35700000000000026,0.0,1.0,0.015445825825727066,0.003902277850765721,0.9963440301403158
0.52,0.7000000000000001,0.3710000000000003,0.0,1.0,0.01873850281812328,0.0036151806486082075,0.9965974407411916
0.55,0.7000000000000001,0.3920000000000003,0.0,1.0,0.02893664923325112,0.0034586831541330476,0.9965670206931095
0.58,0.7000000000000001,0.4130000000000003,0.0,1.0,0.034289810130729625,0.0033538080812686114,0.9964367819790769
0.61,0.7000000000000001,0.43400000000000033,0.0,1.0,0.040759194955700906,0.002798782253114388,0.9967469975989786
0.65,0.7000000000000001,0.46200000000000035,0.0,1.0,0.04704356668001641,0.0029652368681212797,0.9967245375428941
0.69,0.7000000000000001,0.4900000000000004,0.0,1.0,0.05640019059934276,0.002519924225088703,0.9970421238888321
0.73,0.7000000000000001,0.5180000000000003,0.0,1.0,0.0642753285174853,0.00252269496815072,0.9971256404441361
0.76,0.7000000000000001,0.5390000000000004,0.0,1.0,0.07540344987934677,0.002144481123814895,0.9974947046227355
0.81,0.7000000000000001,0.5740000000000004,0.0,1.0,0.08427454900417819,0.0024136418044298667,0.9974432169879134
0.83,0.7000000000000001,0.5880000000000004,0.0,1.0,0.09394741272501639,0.0025394464929915407,0.9976211572181006
0.86,0.7000000000000001,0.6090000000000004,0.0,1.0,0.10703238761472134,0.0028575963076703115,0.9977712556400824
0.90,0.7000000000000001,0.6370000000000005,0.0,1.0,0.11859887531293645,0.0026579342470179445,0.9980579763712318
0.92,0.7000000000000001,0.6510000000000005,0.0,1.0,0.13293188858254723,0.003169354251922254,0.9979835345284734
0.95,0.7000000000000001,0.6720000000000005,0.0,1.0,0.1484560126469744,0.0034031109032441435,0.9982701829177878
0.96,0.7000000000000001,0.6790000000000005,0.0,1.0,0.1648252182630422,0.0035444521887136623,0.9985750069157017
1.00,0.7000000000000001,0.7070000000000005,0.0,1.0,0.17847087672779482,0.003662397061839861,0.9985005998129625
1.04,0.7000000000000001,0.7350000000000005,0.0,1.0,0.19592107289964777,0.003949845273317395,0.9987657624628086
1.08,0.7000000000000001,0.7630000000000006,0.0,1.0,0.20735238431708447,0.003781300497911492,0.9988154628832686
1.12,0.7000000000000001,0.7910000000000006,0.0,1.0,0.2261047886209585,0.00415347329458269,0.9987408975630268
1.16,0.7000000000000001,0.8190000000000006,0.0,1.0,0.241882240961234,0.0038323776773086307,0.9991912512263335
1.19,0.7000000000000001,0.8400000000000006,0.0,1.0,0.26207564974202024,0.003437925937870475,0.9992289110048607
1.22,0.7000000000000001,0.8610000000000007,0.0,1.0,0.2829544050595719,0.002896142148825636,0.9997608340568316
1.26,0.7000000000000001,0.8890000000000007,0.0,1.0,0.3041680143410279,0.0022815262564551252,1.0000393676363113
1.30,0.7000000000000001,0.9170000000000007,0.0,1.0,0.32178795775373115,0.0014791622497109897,1.0005279276086902
1.35,0.7000000000000001,0.9520000000000007,0.0,1.0,0.3395052349903014,0.001102879245790033,1.0008871904267138
1.38,0.7000000000000001,0.9730000000000008,0.0,1.0,0.36228698611899934,0.0002272141468915132,1.001364379004908
1.42,0.7000000000000001,1.0010000000000008,0.0,1.0,0.38117595210557875,-0.0006885202388492901,1.0015341452421243
1.46,0.7000000000000001,1.0290000000000004,0.0,1.0,0.40487486127587413,-0.0014249961216890243,1.0024454494087534
1.50,0.7000000000000001,1.057,0.0,1.0,0.4291518623104278,-0.0019257082754970682,1.002436253966749
1.54,0.7000000000000001,1.0849999999999995,0.0,1.0,0.44959387116320404,-0.0025867817180010573,1.0034279733891787
1.58,0.7000000000000001,1.112999999999999,0.0,1.0,0.4748462521123753,-0.0028476572205079808,1.0038812068210126
1.62,0.7000000000000001,1.1409999999999987,0.0,1.0,0.4995884916184967,-0.00242991445890323,1.0046469364414268
1.66,0.7000000000000001,1.1689999999999983,0.0,1.0,0.5160126022433558,-0.0030692084709170917,1.005102256107427
1.69,0.7000000000000001,1.189999999999998,0.0,1.0,0.5479580143198626,-0.0030454826936199657,1.0062462244099017
1.72,0.7000000000000001,1.2109999999999976,0.0,1.0,0.5747944802574599,-0.0028065858312808596,1.0067941685563333
1.75,0.7000000000000001,1.2319999999999973,0.0,1.0,0.6015464357638021,-0.002158762929340006,1.0078426040360173
1.79,0.7000000000000001,1.259999999999997,0.0,1.0,0.6184939393195845,-0.002338015542639428,1.0082376855965909
1.83,0.7000000000000001,1.2879999999999965,0.0,1.0,0.6409711813600647,-0.0028515363918988007,1.0089738920826519
1.86,0.7000000000000001,1.3089999999999962,0.0,1.0,0.6685003998609664,-0.0018306144911798483,1.0089643555332075
1.89,0.7000000000000001,1.3299999999999959,0.0,1.0,0.6907523021779656,-0.0016551291927837664,1.0092452335568691
1.92,0.7000000000000001,1.3509999999999955,0.0,1.0,0.7192722180887472,-0.00219964396748027,1.0101255490550896
1.95,0.7000000000000001,1.3719999999999952,0.0,1.0,0.7411387651921257,-0.0018707722092693535,1.0106791912607933
2.00,0.7000000000000001,1.4069999999999947,0.0,1.0,0.7641830389942182,-0.002319545038693464,1.0116200857360607
2.03,0.7000000000000001,1.4279999999999944,0.0,1.0,0.7925883923308812,-0.003007606881378279,1.0118034640250735
2.06,0.7000000000000001,1.448999999999994,0.0,1.0,0.8141511708573048,-0.0023970173766943983,1.0112454327037992
2.09,0.7000000000000001,1.4699999999999938,0.0,1.0,0.837282535982318,-0.0032319993293058887,1.01133365814533
2.13,0.7000000000000001,1.4979999999999933,0.0,1.0,0.8647914301922056,-0.0034564390928309196,1.0111770328770666
2.15,0.7000000000000001,1.5119999999999931,0.0,1.0,0.8929730762135462,-0.0044534686108492014,1.0111307420862459
2.20,0.7000000000000001,1.5469999999999926,0.0,1.0,0.9153711319225064,-0.004559903601012988,1.0115039867232525
2.23,0.7000000000000001,1.5679999999999923,0.0,1.0,0.9434536029821645,-0.005309922351452762,1.0117628521138426
2.25,0.7000000000000001,1.581999999999992,0.0,1.0,0.9654515672625821,-0.005223035700559437,1.0123991292502081
2.29,0.7000000000000001,1.6099999999999917,0.0,1.0,0.9875741407012165,-0.0053182904861719055,1.012191552955023
2.32,0.7000000000000001,1.6309999999999913,0.0,1.0,1.0147850546268269,-0.004916848764738849,1.0110438879073045
2.37,0.7000000000000001,1.6659999999999908,0.0,1.0,1.0425073086794223,-0.004964337414048806,1.0103281770466401
2.40,0.7000000000000001,1.6869999999999905,0.0,1.0,1.0705050392887268,-0.0056947489199413275,1.0103852408857636
2.44,0.7000000000000001,1.71499999999999,0.0,1.0,1.0980492775104573,-0.005092330088519293,1.0104361287361092
2.46,0.7000000000000001,1.7289999999999899,0.0,1.0,1.1202100092810583,-0.005104801142135727,1.0111228743602179
2.50,0.7000000000000001,1.7569999999999895,0.0,1.0,1.1420604295089563,-0.004848002122260552,1.011517663777259
2.53,0.7000000000000001,1.7779999999999891,0.0,1.0,1.1639523471752855,-0.004267208001558142,1.0118886851348234
2.56,0.7000000000000001,1.7989999999999888,0.0,1.0,1.1906043139016294,-0.0026771303820840807,1.0105606519509671
2.60,0.7000000000000001,1.8269999999999884,0.0,1.0,1.2121618060147923,-0.0021238798262743367,1.0097972185333075
2.64,0.7000000000000001,1.854999999999988,0.0,1.0,1.2337735162429062,-0.0018905457894679693,1.009364407156159
2.68,0.7000000000000001,1.8829999999999876,0.0,1.0,1.2658514861498436,-0.0011691538857899995,1.009407073589092
2.71,0.7000000000000001,1.9039999999999873,0.0,1.0,1.281668249469161,-0.001210856430904262,1.0094607375049027
2.74,0.7000000000000001,1.924999999999987,0.0,1.0,1.3080663580974503,-0.0009961214537977463,1.009895832755743
2.78,0.7000000000000001,1.9529999999999865,0.0,1.0,1.32946602512353,-0.0011248324578115709,1.010114090386264
2.82,0.7000000000000001,1.980999999999986,0.0,1.0,1.355620889612591,-0.0012887575009517455,1.0105715324550377
2.86,0.7000000000000001,2.008999999999986,0.0,1.0,1.3766639568841108,-0.0012961664266088033,1.0110004096663114
2.89,0.7000000000000001,2.0299999999999865,0.0,1.0,1.4032377316052056,-0.0015879992988960833,1.010994671053255
2.93,0.7000000000000001,2.057999999999987,0.0,1.0,1.4241141484526616,-0.0020132269487400712,1.0105897841587292
2.98,0.7000000000000001,2.0929999999999875,0.0,1.0,1.4508906109849236,-0.0022323795729793827,1.009371001439575
