time_stamp,ref_moving_speed,ref_x,ref_y,ref_z,drone_x,drone_y,drone_z
0.01,1.0,0.0,0.0,1.012,-0.005292571359181488,0.005808576514828578,0.9989442780067119
0.03,1.0,0.0,0.0,1.024,-0.004825754669091398,0.006358567003455273,0.9989190740009881
0.06,1.0,0.0,0.0,1.042,-0.004464978088108509,0.006754963306334072,0.9990333502279751
0.09,1.0,0.0,0.0,1.06,-0.0041774787498047115,0.007147945359785357,0.9993621610022462
0.13,1.0,0.0,0.0,1.084,-0.003917588367781057,0.007379461596695225,1.0002612049156736
0.16,1.0,0.0,0.0,1.102,-0.00390708694562867,0.0075980940963188415,1.0018226984550997
0.19,1.0,0.0,0.0,1.12,-0.003934749286124909,0.007568975237573716,1.0034643215580634
0.21,1.0,0.0,0.0,1.1320000000000001,-0.004040568232451614,0.0074775817749652695,1.0074466902820494
0.23,1.0,0.0,0.0,1.1440000000000001,-0.004312253629877164,0.006998821533168109,1.0123559418086805
0.26,1.0,0.0,0.0,1.1620000000000001,-0.00468886939335249,0.006581047283592212,1.01649867523882
0.30,1.0,0.0,0.0,1.1860000000000002,-0.0050625786984911745,0.006175017657224169,1.0209680250981832
0.33,1.0,0.0,0.0,1.2040000000000002,-0.005614755395298473,0.005730818658712833,1.026034524935119
0.36,1.0,0.0,0.0,1.2220000000000002,-0.006055860001861384,0.00518842494608085,1.0315344173400074
0.40,1.0,0.0,0.0,1.2460000000000002,-0.006380393947227533,0.004388865549767917,1.0378334150741628
0.43,1.0,0.0,0.0,1.2640000000000002,-0.006843152529624955,0.003998684696745469,1.0446344812914323
0.47,1.0,0.0,0.0,1.2880000000000003,-0.0073133504506712405,0.003213471663594647,1.0538286340152314
0.50,1.0,0.0,0.0,1.3060000000000003,-0.0076443454367339705,0.002890237044246069,1.0612573030165025
0.53,1.0,0.0,0.0,1.3240000000000003,-0.007943637066028958,0.0027311253682206216,1.0688533486328895
0.56,1.0,0.0,0.0,1.3420000000000003,-0.008204409093716803,0.002684441545960481,1.076636432690944
0.58,1.0,0.0,0.0,1.3540000000000003,-0.008390154149674006,0.002770562299049373,1.0845112531043528
0.61,1.0,0.0,0.0,1.3720000000000003,-0.008429573006591766,0.0028159442030145643,1.0928793682174769
0.65,1.0,0.0,0.0,1.3960000000000004,-0.008607043791466644,0.003168647210888942,1.1018801527127458
0.68,1.0,0.0,0.0,1.4140000000000004,-0.008653961888108765,0.0035623791503763824,1.1113607641111574
0.71,1.0,0.0,0.0,1.4320000000000004,-0.008471910509104008,0.003958556304268113,1.1234322537875479
0.74,1.0,0.0,0.0,1.4500000000000004,-0.008326722388328657,0.004415169237335204,1.1331443298764816
0.77,1.0,0.0,0.0,1.4680000000000004,-0.007995891874766186,0.004765158450704354,1.1429375139987934
0.81,1.0,0.0,0.0,1.4920000000000004,-0.007688766596092074,0.0050297244018980836,1.152757842466436
0.83,1.0,0.0,0.0,1.5040000000000004,-0.007308947572162276,0.005479218777907691,1.1597484469486647
0.87,1.0,0.0,0.0,1.5280000000000005,-0.007132076701808241,0.005559754222304036,1.1720614852208529
0.91,1.0,0.0,0.0,1.5520000000000005,-0.006473057738484406,0.005152222107781768,1.186980611068469
0.95,1.0,0.0,0.0,1.5760000000000005,-0.006627196880915988,0.005410796930582884,1.2013411389742523
0.99,1.0,0.0,0.0,1.6000000000000005,-0.006576116292965063,0.004972268626199483,1.2131644481245643
1.03,1.0,0.0,0.0,1.6240000000000006,-0.00679599371458451,0.004569021899176184,1.2333915981213892
1.06,1.0,0.0,0.0,1.6420000000000006,-0.007268027328092054,0.003977405217265306,1.2531278058236481
1.09,1.0,0.0,0.0,1.6600000000000006,-0.008054149597592009,0.002738953268649258,1.2778182302832455
1.12,1.0,0.0,0.0,1.6780000000000006,-0.008570986826812258,0.0015302853825647222,1.2940928390608875
1.14,1.0,0.0,0.0,1.6900000000000006,-0.009460585626044932,0.00129577005670789,1.3055381758398186
1.17,1.0,0.0,0.0,1.7080000000000006,-0.010348019324513489,0.0003067605923350314,1.3192046821564714
1.21,1.0,0.0,0.0,1.7320000000000007,-0.011293840637884882,-0.0005264776718452158,1.3317041969354986
1.26,1.0,0.0,0.0,1.7620000000000007,-0.01249774348088022,-0.0015461185537988253,1.3495457565076798
1.29,1.0,0.0,0.0,1.7800000000000007,-0.013853922740074251,-0.0024750668393684894,1.3698497651129418
1.33,1.0,0.0,0.0,1.8040000000000007,-0.014786832853078791,-0.003336695821317681,1.3878631400108905
1.37,1.0,0.0,0.0,1.8280000000000007,-0.01583241774722961,-0.004184563338099467,1.4060685463339104
1.40,1.0,0.0,0.0,1.8460000000000008,-0.016937401001918907,-0.005097249945020366,1.4242012798082269
1.43,1.0,0.0,0.0,1.8640000000000008,-0.01797920881407823,-0.005867316272193834,1.4470002048926904
1.47,1.0,0.0,0.0,1.8880000000000008,-0.01910405210250192,-0.006675188770956408,1.4696358054925536
1.49,1.0,0.0,0.0,1.9000000000000008,-0.01965055223215825,-0.006924806178470577,1.483180748691462
1.54,1.0,0.0,0.0,1.9300000000000008,-0.020899190794865807,-0.007515928716124387,1.510187845893274
1.57,1.0,0.0,0.0,1.9480000000000008,-0.021335889815064683,-0.007608485182419633,1.5234298032950517
