elapsed_time,x,y,z,pitch,roll,yaw,x_speed,y_speed,z_speed,pitch_speed,roll_speed,yaw_speed,control_x,control_y,control_z,control_yaw
0.00,-0.5181391323319394,-0.8773952984681015,0.9898597518714571,-0.19111896674795684,-0.08386466139692655,3.1243213073905,-0.03066717773268182,-0.023832764786292558,-0.009574185400306698,0.08435403606011621,0.034231931325693556,-0.0019468902236966785,0,0,20,0
0.04,-0.5199577471692013,-0.8774746402969897,0.9896915684378962,-0.19422266930681958,-0.0859994458103639,3.123893272476526,-0.042421339553124104,-0.0018507418916155702,-0.003923077276242503,-0.07239752883554543,-0.04979636843362137,-0.009984420040042017,0,0,20,0
0.08,-0.5210908652672412,-0.8784003057421108,0.9894808905769968,-0.19089247558566663,-0.08595428027616944,3.1233195233743807,-0.03187125651208,-0.02603622773023799,-0.005925744331287307,0.09366848742896132,0.001270372724878811,-0.016137863158025026,0,0,20,0
0.12,-0.5227946915051627,-0.8784347827767134,0.9898630605110877,-0.19354934359615605,-0.08689256348192492,3.122805483554085,-0.0420503048286463,-0.0008508906497382847,0.009431925549210423,-0.06557130489248372,-0.023156759732583104,-0.012686464532834615,0,0,20,0
0.16,-0.5236539738397077,-0.8792887498155272,0.9941989328584755,-0.19155414864026626,-0.0840629591169343,3.122667384936428,-0.021513238501462514,-0.021380163236006076,0.10855414125397884,0.04995227205002339,0.07084278487006798,-0.0034574765230665173,0,0,20,0
0.20,-0.5247129235283523,-0.8801660101256479,1.0046687118149968,-0.18690416872114493,-0.0871204114800208,3.1219842950424974,-0.026628517988218445,-0.02205972785949677,0.26327473369696885,0.11692913766248964,-0.07688318540683066,-0.017177087564358574,0,0,20,0
0.24,-0.5257685389994367,-0.8811917348870925,1.0230526759207734,-0.18601647083977776,-0.09116891800663884,3.12136994135644,-0.026569046547316226,-0.025816719892861707,0.46271053374087967,0.022342687253125416,-0.10189786082079275,-0.01546281968054947,0,0,20,0
0.28,-0.526673235463885,-0.8823597386104043,1.0470131099679463,-0.18547799316235372,-0.08944925713343463,3.122050804743335,-0.022524794906991354,-0.029080520762555906,0.5965579440217573,0.013406816233514817,0.042815474582540466,0.01695188248451726,0,0,20,0
0.32,-0.527258020375444,-0.8835816896133205,1.074202945065735,-0.1872508326117217,-0.08352238828688405,3.1220970552052365,-0.01452285922015252,-0.030346580492246554,0.6752468121854229,-0.04402763688697933,0.14719101018747405,0.0011486085461303384,0,0,20,0
0.36,-0.5282450920281565,-0.8843446835814721,1.1028926055064552,-0.1939657947645345,-0.08016215298013042,3.121957407513636,-0.02470081309033915,-0.019093417731709784,0.7179397141272484,-0.16803747183857226,0.08408765870602389,-0.0034945908123759717,0,0,20,0
0.40,-0.5281557819980642,-0.8859860995576168,1.1321382279517833,-0.1899908044072736,-0.0678496101040727,3.121078905242523,0.0022609589414236755,-0.04155383358426468,0.7403776652739911,0.10063024254987547,0.3117024356449544,-0.022240027944022737,0,0,20,0
0.44,-0.528937837337122,-0.8872392796966357,1.1620607018850881,-0.18913212888999018,-0.06534264197837746,3.119650937670935,-0.01953463539407319,-0.031302666034254495,0.7474210445005608,0.02144849899261471,0.06262051524259787,-0.03566860869351953,0,0,20,0
0.48,-0.530547586704186,-0.8881095203160514,1.1921372799995806,-0.19331361721908083,-0.06683280056235244,3.1192742096410555,-0.03967083762316266,-0.02144630400997413,0.7412104462054016,-0.10304905093955903,-0.036723629421549484,-0.009284126341175262,0,0,20,0
0.52,-0.5312138586987215,-0.8899337513547616,1.2222327219735756,-0.18814933583247598,-0.06322650560714,3.119161412553284,-0.016767652638967553,-0.04590928725983808,0.7573932585714578,0.1299662557193995,0.09075738079734186,-0.0028386941098393946,0,0,20,0
0.56,-0.5327507008774607,-0.8911375879367346,1.2524286398473603,-0.18871321750498915,-0.061889637091228085,3.1191455202418656,-0.03828281187360835,-0.029987626596797757,0.7521817524954969,-0.014046319320509145,0.03330145840765053,-0.0003958782343980572,0,0,20,0
0.60,-0.5346270321901261,-0.8924908273516847,1.2827239468168439,-0.18895141976339722,-0.0651819287691779,3.1199612657942475,-0.047047136964661895,-0.03393112915154513,0.7596246178693593,-0.0059726841421712685,-0.08255093141311495,0.020454006428483093,0,0,20,0
0.64,-0.5368163129398793,-0.8938169825770599,1.313201105501142,-0.19037285748487404,-0.06969199492225579,3.1202263044417835,-0.05492259708004622,-0.03326932332323661,0.7645820239140309,-0.03565968013003836,-0.1131442580663868,0.006649037977839099,0,0,20,0
0.68,-0.5389762720430163,-0.8952644348854156,1.3435014726901484,-0.18962402145724513,-0.06905380030723926,3.120552279963902,-0.053883728200772696,-0.03610907570136225,0.7558924368636236,0.01868094489432653,0.015920813095397647,0.008131994910652926,0,0,20,0
0.72,-0.541423618689797,-0.8965939938724552,1.3743555745759188,-0.1893359123105645,-0.07304971642833798,3.121367649156986,-0.06155391681595368,-0.0334401190766298,0.7760203579684608,0.007246315707675649,-0.10050243141697397,0.02050758422450067,0,0,20,0
0.76,-0.5440274830233182,-0.8976103193300418,1.4051786645854998,-0.19117622520496316,-0.07623668219658992,3.1220106994088663,-0.06534985573141136,-0.025506982516108934,0.7735750512771831,-0.0461868080457859,-0.07998410304832529,0.016138798265111536,0,0,20,0
0.80,-0.5465197879877801,-0.8992158949714962,1.4364722219504855,-0.19053776789976865,-0.07220803193420021,3.1211790542214706,-0.06194620880268939,-0.03990656254040007,0.7778009779508811,0.015868848356493208,0.10013205201831239,-0.020670530758779358,0,0,20,0
