epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,105.735,0.43064,2.00656,0.37781,0.34208,0.89154,0.99852,1,0.995,0.95653,0.99852,1,0.995,0.76271,0.32605,0.83561,0.1255,0.29386,0.80233,0.00189308,0.00189308,0.00189308
29,109.47,0.42252,1.87803,0.37157,0.34051,0.8798,0.9955,1,0.995,0.95294,0.9955,1,0.995,0.82441,0.32408,0.70601,0.12661,0.29456,0.80682,0.00188912,0.00188912,0.00188912
30,113.221,0.43989,1.88859,0.3656,0.34443,0.88582,0.99534,1,0.995,0.9641,0.99534,1,0.995,0.84184,0.29608,0.59634,0.1256,0.26579,0.80119,0.00188516,0.00188516,0.00188516
31,116.975,0.44126,1.95201,0.38432,0.33851,0.88573,0.99889,1,0.995,0.95908,0.99889,1,0.995,0.81627,0.30882,0.71362,0.11484,0.27251,0.80036,0.0018812,0.0018812,0.0018812
32,120.702,0.44354,1.91506,0.3652,0.34032,0.89816,0.99926,1,0.995,0.96787,0.99926,1,0.995,0.82333,0.30352,0.68681,0.13199,0.26355,0.80719,0.00187724,0.00187724,0.00187724
33,124.455,0.42313,2.00878,0.36843,0.33811,0.87624,0.99637,1,0.995,0.95677,0.99637,1,0.995,0.77863,0.31116,0.74367,0.12233,0.29336,0.80657,0.00187328,0.00187328,0.00187328
34,128.221,0.43305,1.91974,0.35829,0.34373,0.89665,0.99876,1,0.995,0.95974,0.99876,1,0.995,0.83889,0.31479,0.66923,0.12585,0.27869,0.80619,0.00186932,0.00186932,0.00186932
35,131.978,0.4215,1.90494,0.37099,0.33997,0.88741,0.96626,0.96536,0.99218,0.88986,0.9379,0.93331,0.93996,0.68615,0.4902,1.43581,0.13621,0.45893,0.88847,0.00186536,0.00186536,0.00186536
36,135.708,0.42788,1.85389,0.35253,0.33766,0.88291,1,0.99974,0.995,0.9517,1,0.99974,0.995,0.81072,0.3297,0.79336,0.12255,0.27858,0.80878,0.0018614,0.0018614,0.0018614
37,139.434,0.41429,1.79288,0.35003,0.329,0.87447,0.99931,1,0.995,0.96898,0.9937,0.99438,0.99287,0.80504,0.29098,0.73774,0.12194,0.29346,0.79099,0.00185744,0.00185744,0.00185744
38,143.169,0.41991,1.82757,0.36106,0.33756,0.87998,0.9993,1,0.995,0.96754,0.9993,1,0.995,0.83061,0.28194,0.62004,0.12391,0.25448,0.79382,0.00185348,0.00185348,0.00185348
39,146.906,0.39536,1.64259,0.33696,0.31224,0.87575,0.99936,1,0.995,0.96948,0.99936,1,0.995,0.84504,0.2798,0.60575,0.10962,0.26267,0.79429,0.00184952,0.00184952,0.00184952
40,150.654,0.41889,1.79679,0.35629,0.33589,0.88884,0.99891,1,0.995,0.97045,0.99891,1,0.995,0.81933,0.27126,0.62655,0.10688,0.25332,0.79161,0.00184556,0.00184556,0.00184556
41,154.386,0.4292,1.88429,0.36241,0.33369,0.88626,0.99874,1,0.995,0.97096,0.99874,1,0.995,0.83304,0.30044,0.60107,0.11037,0.27114,0.79386,0.0018416,0.0018416,0.0018416
42,158.125,0.41446,1.68195,0.3325,0.32676,0.88141,0.99903,1,0.995,0.97489,0.99903,1,0.995,0.87539,0.27079,0.55414,0.1093,0.24889,0.79313,0.00183764,0.00183764,0.00183764
43,161.901,0.39825,1.63936,0.35338,0.31875,0.87849,0.99854,1,0.995,0.97394,0.99854,1,0.995,0.87701,0.28309,0.53163,0.11529,0.25674,0.78695,0.00183368,0.00183368,0.00183368
44,165.653,0.40515,1.60486,0.35308,0.32349,0.87728,0.99929,1,0.995,0.97397,0.99929,1,0.995,0.89368,0.26647,0.48803,0.10493,0.24119,0.79089,0.00182972,0.00182972,0.00182972
45,169.41,0.41709,1.64383,0.35819,0.32523,0.89202,0.99752,1,0.995,0.97064,0.99752,1,0.995,0.83287,0.29136,0.61631,0.1178,0.2736,0.79688,0.00182576,0.00182576,0.00182576
46,173.151,0.3988,1.64026,0.34498,0.32165,0.87351,0.99895,1,0.995,0.97047,0.99895,1,0.995,0.88948,0.29111,0.5193,0.11682,0.24445,0.79852,0.0018218,0.0018218,0.0018218
